run_id,benchmark,kernel,group,arm,model,class,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
d36_hint_check,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,1,no-baseline
d36_hint_check,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,parallel-not-faster,1.071,,,,1,no-baseline
d36_hint_check,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,parallel-not-faster,0.936,,,,1,no-baseline
d36_hint_check,tsvc/s241,s241,,bare_llm_contract,claude-haiku-4-5-20251001,R,1,0,,,,parallel-not-faster,0.805,,,,1,no-baseline
d36_hint_check,tsvc/s241,s241,,bare_llm_contract,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,1.541,,,,1,no-baseline
d36_hint_check,tsvc/s241,s241,,bare_llm_contract,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,1.795,,,,1,no-baseline
d36_hint_check,tsvc/s281,s281,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,2.931,,,,1,no-baseline
d36_hint_check,tsvc/s281,s281,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,2.401,,,,1,no-baseline
d36_hint_check,tsvc/s281,s281,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,2.999,,,,1,no-baseline
d36_hint_check,tsvc/s281,s281,,bare_llm_contract,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,1,no-baseline
d36_hint_check,tsvc/s281,s281,,bare_llm_contract,claude-haiku-4-5-20251001,R,2,0,,,,BROKEN,,,,,1,no-baseline
d36_hint_check,tsvc/s281,s281,,bare_llm_contract,claude-haiku-4-5-20251001,R,3,0,,,,no-change,1.0,,,,1,no-baseline
d36_hint_check,tsvc/s331,s331,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,parallel-not-faster,0.072,,,,1,no-baseline
d36_hint_check,tsvc/s331,s331,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,parallel-not-faster,0.069,,,,1,no-baseline
d36_hint_check,tsvc/s331,s331,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,5.333,,,,1,no-baseline
d36_hint_check,tsvc/s331,s331,,bare_llm_contract,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,6.385,,,,1,no-baseline
d36_hint_check,tsvc/s331,s331,,bare_llm_contract,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,5.442,,,,1,no-baseline
d36_hint_check,tsvc/s331,s331,,bare_llm_contract,claude-haiku-4-5-20251001,R,3,0,,,,parallel-not-faster,0.07,,,,1,no-baseline
