e1_r_b:tsvc/s281@4 [no-change] pragma 1:91 (do_all) vs the rewrite: 6=0.884  12=0.85  all=0.617
e1_r_b:tsvc/s281@4 [no-change] rewrite + all safe pragmas vs the ORIGINAL (Settle's question): 6=0.965  12=0.9  all=0.701
e1_r_b:tsvc/s281@5 [no-change] pragma 1:91 (do_all) vs the rewrite: 6=0.893  12=0.911  all=0.693
e1_r_b:tsvc/s281@5 [no-change] rewrite + all safe pragmas vs the ORIGINAL (Settle's question): 6=0.905  12=0.893  all=0.627
e1_r_b:tsvc/s341@2 [no-change] pragma 1:101 (do_all) vs the rewrite: 6=1.08  12=1.06  all=0.823
e1_r_b:tsvc/s341@2 [no-change] rewrite + all safe pragmas vs the ORIGINAL (Settle's question): 6=0.153  12=0.157  all=0.102
e1_r_b:tsvc/s341@4 [no-change] pragma 1:98 (do_all) vs the rewrite: 6=1.269  12=1.297  all=0.884
e1_r_b:tsvc/s341@4 [no-change] rewrite + all safe pragmas vs the ORIGINAL (Settle's question): 6=0.509  12=0.481  all=0.432
e1_r_b:tsvc/s254@1 [FASTER] pragma 1:84 (do_all) vs the rewrite: 6=2.137  12=2.519  all=2.874
e1_r_b:tsvc/s254@1 [FASTER] rewrite + all safe pragmas vs the ORIGINAL (Settle's question): 6=1.874  12=2.31  all=2.542
e1_r_b:tsvc/s291@1 [FASTER] pragma 1:84 (do_all) vs the rewrite: 6=2.739  12=2.522  all=3.279
e1_r_b:tsvc/s291@1 [FASTER] rewrite + all safe pragmas vs the ORIGINAL (Settle's question): 6=1.944  12=3.002  all=2.367
