46 trial(s); clang++ /usr/bin/clang++-20; archer /usr/lib/llvm-20/lib/libarcher.so
[1/46] tsvc/s112 rep2 (FASTER): clean  2.7 s
[2/46] tsvc/s1213 rep2 (FASTER): clean  2.6 s
[3/46] tsvc/s1213 rep5 (FASTER): clean  1.0 s
[4/46] tsvc/s127 rep1 (FASTER): clean  2.3 s
[5/46] tsvc/s127 rep2 (FASTER): clean  0.8 s
[6/46] tsvc/s127 rep3 (FASTER): clean  0.8 s
[7/46] tsvc/s127 rep4 (FASTER): clean  0.9 s
[8/46] tsvc/s127 rep5 (FASTER): clean  0.9 s
[9/46] tsvc/s211 rep2 (parallel-not-faster): clean  2.4 s
[10/46] tsvc/s211 rep5 (FASTER): clean  1.0 s
[11/46] tsvc/s212 rep1 (FASTER): clean  2.4 s
[12/46] tsvc/s212 rep2 (FASTER): clean  1.2 s
[13/46] tsvc/s212 rep3 (FASTER): clean  1.0 s
[14/46] tsvc/s241 rep1 (FASTER): clean  2.3 s
[15/46] tsvc/s243 rep1 (FASTER): clean  2.2 s
[16/46] tsvc/s243 rep2 (parallel-not-faster): clean  0.8 s
[17/46] tsvc/s243 rep3 (FASTER): clean  0.8 s
[18/46] tsvc/s243 rep4 (FASTER): clean  0.8 s
[19/46] tsvc/s244 rep5 (FASTER): clean  2.6 s
[20/46] tsvc/s252 rep1 (FASTER): clean  2.4 s
[21/46] tsvc/s252 rep2 (FASTER): clean  0.9 s
[22/46] tsvc/s252 rep3 (FASTER): clean  1.2 s
[23/46] tsvc/s254 rep1 (FASTER): clean  2.4 s
[24/46] tsvc/s254 rep2 (FASTER): clean  0.9 s
[25/46] tsvc/s254 rep3 (FASTER): clean  0.9 s
[26/46] tsvc/s254 rep4 (FASTER): clean  0.9 s
[27/46] tsvc/s254 rep5 (FASTER): clean  0.9 s
[28/46] tsvc/s255 rep1 (FASTER): clean  2.3 s
[29/46] tsvc/s255 rep2 (FASTER): clean  0.9 s
[30/46] tsvc/s255 rep3 (FASTER): clean  0.8 s
[31/46] tsvc/s255 rep5 (FASTER): clean  0.8 s
[32/46] tsvc/s291 rep1 (FASTER): clean  2.1 s
[33/46] tsvc/s291 rep2 (FASTER): clean  0.8 s
[34/46] tsvc/s291 rep3 (FASTER): clean  0.8 s
[35/46] tsvc/s291 rep4 (FASTER): clean  0.8 s
[36/46] tsvc/s291 rep5 (FASTER): clean  0.8 s
[37/46] tsvc/s292 rep1 (FASTER): clean  2.1 s
[38/46] tsvc/s292 rep2 (FASTER): clean  0.8 s
[39/46] tsvc/s292 rep3 (FASTER): clean  0.8 s
[40/46] tsvc/s292 rep4 (FASTER): clean  0.8 s
[41/46] tsvc/s292 rep5 (FASTER): clean  0.9 s
[42/46] tsvc/s293 rep1 (FASTER): clean  2.2 s
[43/46] tsvc/s293 rep2 (FASTER): clean  0.9 s
[44/46] tsvc/s293 rep3 (FASTER): clean  0.9 s
[45/46] tsvc/s293 rep4 (FASTER): clean  0.9 s
[46/46] tsvc/s293 rep5 (FASTER): clean  0.8 s
