run_id,benchmark,kernel,group,arm,model,class,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
e1_bare_a,tsvc/s112,s112,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s112,s112,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,parallel-not-faster,0.862,,,,1,no-baseline
e1_bare_a,tsvc/s112,s112,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s112,s112,,bare_llm,claude-haiku-4-5-20251001,R,4,0,,,,parallel-not-faster,0.819,,,,1,no-baseline
e1_bare_a,tsvc/s112,s112,,bare_llm,claude-haiku-4-5-20251001,R,5,0,,,,parallel-not-faster,0.142,,,,1,no-baseline
e1_bare_a,tsvc/s121,s121,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,parallel-not-faster,0.143,,,,1,no-baseline
e1_bare_a,tsvc/s121,s121,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,1.592,,,,1,no-baseline
e1_bare_a,tsvc/s121,s121,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,1.387,,,,1,no-baseline
e1_bare_a,tsvc/s121,s121,,bare_llm,claude-haiku-4-5-20251001,R,4,0,,,,parallel-not-faster,0.133,,,,1,no-baseline
e1_bare_a,tsvc/s121,s121,,bare_llm,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,1.601,,,,1,no-baseline
e1_bare_a,tsvc/s1213,s1213,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,parallel-not-faster,0.266,,,,1,no-baseline
e1_bare_a,tsvc/s1213,s1213,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s1213,s1213,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,2.586,,,,1,no-baseline
e1_bare_a,tsvc/s1213,s1213,,bare_llm,claude-haiku-4-5-20251001,R,4,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s1213,s1213,,bare_llm,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,1.733,,,,1,no-baseline
e1_bare_a,tsvc/s127,s127,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,4.254,,,,1,no-baseline
e1_bare_a,tsvc/s127,s127,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,4.188,,,,1,no-baseline
e1_bare_a,tsvc/s127,s127,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,4.088,,,,1,no-baseline
e1_bare_a,tsvc/s127,s127,,bare_llm,claude-haiku-4-5-20251001,R,4,0,,,,FASTER,4.239,,,,1,no-baseline
e1_bare_a,tsvc/s127,s127,,bare_llm,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,3.874,,,,1,no-baseline
e1_bare_a,tsvc/s211,s211,,bare_llm,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s211,s211,,bare_llm,claude-haiku-4-5-20251001,R,2,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s211,s211,,bare_llm,claude-haiku-4-5-20251001,R,3,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s211,s211,,bare_llm,claude-haiku-4-5-20251001,R,4,0,,,,BROKEN,,,,,1,no-baseline
e1_bare_a,tsvc/s211,s211,,bare_llm,claude-haiku-4-5-20251001,R,5,0,,,,BROKEN,,,,,1,no-baseline
