run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e1_bare_b,tsvc/s252,s252,,bare_llm,claude-haiku-4-5-20251001,1,FASTER,2.364,6.883,4.420526,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,,,,,,1,0,0,2,True,,49,11966,129125,0.1092,115.8,0,0,0,False,0,0,0,0,0,117.0,93.2,604.31,6,4019.8564453125,3833.486328125,2026-09-23T05:09:17,2026-09-23T05:12:47,EXTRALARGE,True,True,,-DLARGE_DATASET,2.131,1.506,2.364,1.574
e1_bare_b,tsvc/s252,s252,,bare_llm,claude-haiku-4-5-20251001,2,parallel-not-faster,1.022,6.978,4.453642,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,2,True,,57,9902,162392,0.0943,96.0,0,0,0,False,0,0,0,0,0,97.4,121.0,604.31,6,3833.486328125,6640.65673828125,2026-09-23T05:12:47,2026-09-23T05:16:26,EXTRALARGE,True,True,,-DLARGE_DATASET,0.992,0.988,1.022,1.013
e1_bare_b,tsvc/s252,s252,,bare_llm,claude-haiku-4-5-20251001,3,BROKEN,0.115,6.8833,4.447272,kernel,False,False,False,0.9999999374727642,0.9999624559181772,0.999965068048164,0.9999999403550236,True,True,4,,,,,,1,0,0,2,True,,41,12098,99092,0.0999,109.8,0,0,0,False,0,0,0,0,0,111.3,553.9,604.31,6,6640.65673828125,7391.69482421875,2026-09-23T05:16:26,2026-09-23T05:27:31,EXTRALARGE,True,True,,-DLARGE_DATASET,0.086,0.128,0.115,0.167
e1_bare_b,tsvc/s252,s252,,bare_llm,claude-haiku-4-5-20251001,4,parallel-not-faster,0.765,6.9994,4.496506,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,,,,,,1,0,0,2,True,,41,8258,108977,0.075,84.1,0,0,0,False,0,0,0,0,0,85.4,147.3,604.31,6,7391.69482421875,6268.708984375,2026-09-23T05:27:31,2026-09-23T05:31:24,EXTRALARGE,True,True,,-DLARGE_DATASET,0.579,0.682,0.765,0.836
e1_bare_b,tsvc/s252,s252,,bare_llm,claude-haiku-4-5-20251001,5,parallel-not-faster,0.787,7.0853,4.555351,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,,,,,,1,0,0,2,True,,49,8884,129477,0.0828,86.9,0,0,0,False,0,0,0,0,0,88.4,138.2,604.31,6,6268.708984375,5727.20458984375,2026-09-23T05:31:24,2026-09-23T05:35:10,EXTRALARGE,True,True,,-DLARGE_DATASET,0.761,0.83,0.787,0.848
e1_bare_b,tsvc/s254,s254,,bare_llm,claude-haiku-4-5-20251001,1,FASTER,3.84,5.4117,2.947044,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,3,True,,41,5032,96511,0.0569,50.1,0,0,0,False,0,0,0,0,0,51.3,71.4,1204.37,7,5297.615234375,5141.5986328125,2026-09-23T05:55:15,2026-09-23T05:57:18,EXTRALARGE,True,True,,-DLARGE_DATASET,3.205,1.605,3.84,1.654
e1_bare_b,tsvc/s254,s254,,bare_llm,claude-haiku-4-5-20251001,2,FASTER,3.585,5.5075,3.050066,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,3,True,,49,4404,124704,0.0494,43.5,0,0,0,False,0,0,0,0,0,44.7,74.4,1204.37,7,5141.5986328125,4871.51513671875,2026-09-23T05:57:18,2026-09-23T05:59:17,EXTRALARGE,True,True,,-DLARGE_DATASET,2.544,1.485,3.585,1.655
e1_bare_b,tsvc/s254,s254,,bare_llm,claude-haiku-4-5-20251001,3,FASTER,4.012,5.5359,3.066502,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,3,True,,41,5435,106372,0.0547,51.6,0,0,0,False,0,0,0,0,0,52.8,72.2,1204.37,7,4871.51513671875,4506.08740234375,2026-09-23T05:59:17,2026-09-23T06:01:22,EXTRALARGE,True,True,,-DLARGE_DATASET,3.482,1.66,4.012,1.696
e1_bare_b,tsvc/s254,s254,,bare_llm,claude-haiku-4-5-20251001,4,FASTER,3.752,5.5231,3.021207,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,3,True,,49,5281,125613,0.0549,52.6,0,0,0,False,0,0,0,0,0,53.8,71.8,1204.37,7,4506.08740234375,5096.95166015625,2026-09-23T06:01:22,2026-09-23T06:03:28,EXTRALARGE,True,True,,-DLARGE_DATASET,3.276,1.634,3.752,1.68
e1_bare_b,tsvc/s254,s254,,bare_llm,claude-haiku-4-5-20251001,5,FASTER,4.035,5.5134,3.018061,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,3,True,,41,4707,99068,0.0489,45.8,0,0,0,False,0,0,0,0,0,47.1,72.0,1204.37,7,5096.95166015625,4180.376953125,2026-09-23T06:03:28,2026-09-23T06:05:27,EXTRALARGE,True,True,,-DLARGE_DATASET,3.195,1.61,4.035,1.72
