run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,phase_b_deferred,phase_b_joint_kept,dp_floor,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e1c_d,tsvc/s3112,s3112,,bare_llm,claude-haiku-4-5-20251001,1,parallel-not-faster,0.084,6.7774,4.323322,kernel,False,False,False,7.175221940555347e-16,8.314476465681755e-16,5.985357919092233e-15,1.198582832100474e-13,True,True,3,,,,,,1,0,0,5,True,,42,13466,63511,0.1112,104.3,0,0,0,False,0,0,0,0,0,,0,0,105.6,664.3,2404.1,7,3.6884765625,12.5751953125,2026-09-25T19:32:38,2026-09-25T19:45:28,EXTRALARGE,True,True,,-DLARGE_DATASET,0.075,0.113,0.084,0.125
e1c_d,tsvc/s3112,s3112,,bare_llm,claude-haiku-4-5-20251001,2,VERIFY_FAILED,,,,,,,,,,,,,True,4,,,,,,1,0,0,5,True,,34,12685,53324,0.0995,101.2,0,0,0,False,0,0,0,0,0,,0,0,102.6,0.3,2404.1,7,12.5751953125,4.6103515625,2026-09-25T19:45:28,2026-09-25T19:47:11,EXTRALARGE,True,True,,-DLARGE_DATASET,,,,
e1c_d,tsvc/s3112,s3112,,bare_llm,claude-haiku-4-5-20251001,3,no-change,1.018,6.8377,4.386153,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,,,,,,1,0,0,5,True,,98,2719,164451,0.0374,33.1,0,0,0,False,0,0,0,0,0,,0,0,34.3,117.5,2404.1,7,4.6103515625,3.2841796875,2026-09-25T19:47:11,2026-09-25T19:49:43,EXTRALARGE,True,True,,-DLARGE_DATASET,1.018,1.014,1.017,1.014
e1c_d,tsvc/s3112,s3112,,default,claude-haiku-4-5-20251001,1,no-change,1.0,6.7559,4.329459,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,1,0,0,5,True,,26,26648,42735,0.2065,268.5,2,0,1,False,0,1,0,0,0,original,1,1,442.5,117.5,2404.1,7,5.15869140625,5.5517578125,2026-09-25T19:07:17,2026-09-25T19:16:37,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.0,0.996,1.0,0.996
e1c_d,tsvc/s3112,s3112,,default,claude-haiku-4-5-20251001,2,no-change,1.001,6.7837,4.336518,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,1,0,0,5,True,,50,32536,173996,0.2589,331.8,3,0,1,False,0,1,0,0,0,original,1,1,410.0,117.6,2404.1,7,5.5517578125,5.95751953125,2026-09-25T19:16:37,2026-09-25T19:25:24,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.0,0.999,1.001,1.0
e1c_d,tsvc/s3112,s3112,,default,claude-haiku-4-5-20251001,3,no-change,0.999,6.744,4.326099,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,1,0,0,5,True,,26,11231,46664,0.0966,125.4,4,0,1,False,0,1,0,0,0,original,1,2,316.1,117.4,2404.1,7,5.95751953125,3.6884765625,2026-09-25T19:25:24,2026-09-25T19:32:38,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.999,0.995,0.999,0.994
e1c_d,tsvc/s3112,s3112,,discopop_gate,claude-haiku-4-5-20251001,1,no-change,0.999,6.7798,4.332954,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,0,0,0,5,True,,,,,,,2,0,0,False,0,0,0,0,0,,0,0,39.0,117.5,2404.1,7,4.4951171875,6.1865234375,2026-09-25T18:59:27,2026-09-25T19:02:03,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.999,0.999,0.999,1.0
e1c_d,tsvc/s3112,s3112,,discopop_gate,claude-haiku-4-5-20251001,2,no-change,0.999,6.762,4.330051,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,0,0,0,5,True,,,,,,,2,0,0,False,0,0,0,0,0,,0,0,39.0,117.6,2404.1,7,6.1865234375,4.6220703125,2026-09-25T19:02:03,2026-09-25T19:04:40,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.998,0.995,0.999,0.996
e1c_d,tsvc/s3112,s3112,,discopop_gate,claude-haiku-4-5-20251001,3,no-change,1.001,6.753,4.336286,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,0,0,0,5,True,,,,,,,2,0,0,False,0,0,0,0,0,,0,0,39.2,117.4,2404.1,7,4.6220703125,5.15869140625,2026-09-25T19:04:40,2026-09-25T19:07:17,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.001,0.995,1.0,0.995
e1c_d,tsvc/s321,s321,,bare_llm,claude-haiku-4-5-20251001,1,BROKEN,7.013,4.6536,2.138299,kernel,False,False,False,0.04390592738253533,0.2761447457995512,0.5840409631969662,0.022413225422749847,False,True,1,,,,,,1,0,0,1,True,,34,22748,52085,0.1689,223.9,0,0,0,False,0,0,0,0,0,,0,0,225.1,63.1,3.74,6,22.17529296875,4.31884765625,2026-09-25T14:47:45,2026-09-25T14:52:33,EXTRALARGE,True,True,,-DLARGE_DATASET,3.859,1.498,7.013,1.608
