run_id,benchmark,arm,model,repeat,phase,stage,count
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,1,A,correctness,1
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,3,A,correctness,1
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,4,A,correctness,2
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,5,A,correctness,1
e1c_r_1,tsvc/s112,default,claude-haiku-4-5-20251001,5,B,tsan,2
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_1,tsvc/s121,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s121,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s121,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_1,tsvc/s1213,default,claude-haiku-4-5-20251001,1,A,correctness,5
e1c_r_1,tsvc/s1213,default,claude-haiku-4-5-20251001,2,A,correctness,4
e1c_r_1,tsvc/s1213,default,claude-haiku-4-5-20251001,3,A,correctness,1
e1c_r_1,tsvc/s1213,default,claude-haiku-4-5-20251001,4,A,correctness,4
e1c_r_1,tsvc/s1213,default,claude-haiku-4-5-20251001,5,A,correctness,2
e1c_r_1,tsvc/s1213,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_1,tsvc/s127,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s127,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_1,tsvc/s127,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s127,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s127,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_1,tsvc/s127,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s127,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_1,tsvc/s127,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s127,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s127,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,1,A,correctness,2
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,2,A,correctness,1
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,3,A,correctness,1
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,4,A,correctness,2
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,4,B,schedules,1
e1c_r_1,tsvc/s211,default,claude-haiku-4-5-20251001,5,A,correctness,1
