run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,phase_b_deferred,phase_b_joint_kept,dp_floor,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e1c_r_2,tsvc/s212,s212,,bare_llm,claude-haiku-4-5-20251001,1,FASTER,1.282,1.4256,1.068954,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,34,17121,52098,0.1322,162.8,0,0,0,False,0,0,0,0,0,,0,0,164.2,23.2,3.94,6,12.54638671875,6.5458984375,2026-09-24T19:19:12,2026-09-24T19:22:19,LARGE,True,True,,-DLARGE_DATASET,1.263,1.123,1.282,1.129
e1c_r_2,tsvc/s212,s212,,bare_llm,claude-haiku-4-5-20251001,2,FASTER,2.187,1.4189,1.059112,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,,,,,,1,0,0,1,True,,42,9313,65930,0.0774,92.2,0,0,0,False,0,0,0,0,0,,0,0,93.6,19.4,3.94,6,6.5458984375,5.59423828125,2026-09-24T19:22:19,2026-09-24T19:24:12,LARGE,True,True,,-DLARGE_DATASET,2.02,1.509,2.187,1.571
e1c_r_2,tsvc/s212,s212,,bare_llm,claude-haiku-4-5-20251001,3,FASTER,1.317,1.4432,1.066867,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,42,10892,66007,0.0893,107.0,0,0,0,False,0,0,0,0,0,,0,0,108.4,23.0,3.94,6,5.59423828125,8.0986328125,2026-09-24T19:24:12,2026-09-24T19:26:24,LARGE,True,True,,-DLARGE_DATASET,1.317,1.186,1.304,1.17
e1c_r_2,tsvc/s212,s212,,bare_llm,claude-haiku-4-5-20251001,4,FASTER,1.297,1.4158,1.058371,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,34,9792,53439,0.0804,94.5,0,0,0,False,0,0,0,0,0,,0,0,95.9,23.2,3.94,6,8.0986328125,6.36669921875,2026-09-24T19:26:24,2026-09-24T19:28:23,LARGE,True,True,,-DLARGE_DATASET,1.254,1.129,1.297,1.119
e1c_r_2,tsvc/s212,s212,,bare_llm,claude-haiku-4-5-20251001,5,FASTER,3.09,1.4383,1.076064,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,,,,,,1,0,0,1,True,,50,8678,89441,0.0761,80.9,0,0,0,False,0,0,0,0,0,,0,0,82.4,18.3,3.94,6,6.36669921875,7.103515625,2026-09-24T19:28:23,2026-09-24T19:30:03,LARGE,True,True,,-DLARGE_DATASET,2.413,1.731,3.09,1.859
e1c_r_2,tsvc/s212,s212,,default,claude-haiku-4-5-20251001,1,FASTER,2.104,1.4265,1.061195,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,1,0,0,1,True,,26,23750,45605,0.2069,229.3,3,0,1,False,0,1,0,0,0,original,1,0,397.9,19.9,3.94,6,7.0556640625,7.0439453125,2026-09-24T18:40:06,2026-09-24T18:47:04,LARGE,True,True,0.01,-DLARGE_DATASET,2.058,1.529,2.104,1.523
e1c_r_2,tsvc/s212,s212,,default,claude-haiku-4-5-20251001,2,FASTER,1.271,1.4341,1.072477,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,1,0,0,1,True,,26,16717,52034,0.1353,166.0,2,0,1,False,0,1,0,0,0,original,1,0,318.8,23.7,3.94,6,7.0439453125,6.8857421875,2026-09-24T18:47:04,2026-09-24T18:52:47,LARGE,True,True,0.01,-DLARGE_DATASET,1.238,1.093,1.271,1.108
e1c_r_2,tsvc/s212,s212,,default,claude-haiku-4-5-20251001,3,no-change,1.015,1.434,1.067289,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,1,0,0,1,True,,26,18074,57951,0.1452,176.6,3,0,1,False,0,1,0,0,0,original,1,3,509.9,25.0,3.94,6,6.8857421875,9.9697265625,2026-09-24T18:52:47,2026-09-24T19:01:42,LARGE,True,True,0.01,-DLARGE_DATASET,1.015,1.012,1.007,1.005
e1c_r_2,tsvc/s212,s212,,default,claude-haiku-4-5-20251001,4,FASTER,1.276,1.4412,1.069232,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,1,0,0,1,True,,26,28926,59160,0.2216,287.5,2,0,1,False,0,1,0,0,0,original,1,0,499.0,23.6,3.94,6,9.9697265625,8.3515625,2026-09-24T19:01:42,2026-09-24T19:10:24,LARGE,True,True,0.01,-DLARGE_DATASET,1.276,1.142,1.267,1.12
e1c_r_2,tsvc/s212,s212,,default,claude-haiku-4-5-20251001,5,no-change,1.018,1.4433,1.074601,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,1,0,0,1,True,,26,15858,56766,0.1305,165.1,3,0,1,False,0,1,0,0,0,original,1,3,502.3,25.0,3.94,6,8.3515625,12.54638671875,2026-09-24T19:10:24,2026-09-24T19:19:12,LARGE,True,True,0.01,-DLARGE_DATASET,1.018,1.022,1.013,1.015
e1c_r_2,tsvc/s212,s212,,discopop_gate,claude-haiku-4-5-20251001,1,no-change,1.002,1.456,1.077934,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,49.4,25.6,3.94,6,4.3876953125,5.8056640625,2026-09-24T18:33:47,2026-09-24T18:35:02,LARGE,True,True,0.01,-DLARGE_DATASET,1.002,1.013,0.977,0.989
e1c_r_2,tsvc/s212,s212,,discopop_gate,claude-haiku-4-5-20251001,2,no-change,0.998,1.4474,1.080523,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,50.6,25.5,3.94,6,5.8056640625,6.10791015625,2026-09-24T18:35:02,2026-09-24T18:36:18,LARGE,True,True,0.01,-DLARGE_DATASET,0.994,0.993,0.998,0.995
e1c_r_2,tsvc/s212,s212,,discopop_gate,claude-haiku-4-5-20251001,3,no-change,0.988,1.4485,1.076244,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,50.3,25.4,3.94,6,6.10791015625,7.42626953125,2026-09-24T18:36:18,2026-09-24T18:37:34,LARGE,True,True,0.01,-DLARGE_DATASET,0.988,0.998,0.984,0.994
e1c_r_2,tsvc/s212,s212,,discopop_gate,claude-haiku-4-5-20251001,4,no-change,1.005,1.4482,1.081394,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,50.6,25.5,3.94,6,7.42626953125,6.9287109375,2026-09-24T18:37:34,2026-09-24T18:38:50,LARGE,True,True,0.01,-DLARGE_DATASET,1.005,1.004,0.994,0.996
e1c_r_2,tsvc/s212,s212,,discopop_gate,claude-haiku-4-5-20251001,5,no-change,1.002,1.455,1.086964,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,50.6,25.7,3.94,6,6.9287109375,7.0556640625,2026-09-24T18:38:50,2026-09-24T18:40:06,LARGE,True,True,0.01,-DLARGE_DATASET,1.002,0.997,1.002,1.001
e1c_r_2,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,1,parallel-not-faster,1.055,3.5878,1.132329,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,34,9290,52384,0.0781,87.2,0,0,0,False,0,0,0,0,0,,0,0,88.6,63.0,3.89,6,9.19287109375,13.4814453125,2026-09-24T20:50:33,2026-09-24T20:53:05,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,1.022,1.016,1.055,1.01
e1c_r_2,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,2,BROKEN,2.351,3.5512,1.116039,kernel,False,False,False,1.0,1.0,1.0,1.0,True,True,2,,,,,,1,0,0,1,True,,50,17157,117004,0.139,162.1,0,0,0,False,0,0,0,0,0,,0,0,163.7,57.3,3.89,6,13.4814453125,9.33544921875,2026-09-24T20:53:05,2026-09-24T20:56:46,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,2.094,1.141,2.351,1.165
e1c_r_2,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,3,parallel-not-faster,0.307,3.5393,1.11297,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,66,14048,150612,0.1209,136.3,0,0,0,False,0,0,0,0,0,,0,0,137.6,90.8,3.89,6,9.33544921875,7.5888671875,2026-09-24T20:56:46,2026-09-24T21:00:34,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,0.307,0.58,0.304,0.579
e1c_r_2,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,4,BROKEN,2.415,3.5604,1.119303,kernel,False,False,False,1.0,1.0,1.0,1.0,True,True,2,,,,,,1,0,0,1,True,,42,11203,75249,0.092,108.1,0,0,0,False,0,0,0,0,0,,0,0,109.5,56.9,3.89,6,7.5888671875,7.14208984375,2026-09-24T21:00:34,2026-09-24T21:03:21,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,2.254,1.161,2.415,1.177
e1c_r_2,tsvc/s241,s241,,bare_llm,claude-haiku-4-5-20251001,5,no-change,0.992,3.553,1.106974,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,,,,,,1,0,0,1,True,,50,811,76235,0.0144,11.8,0,0,0,False,0,0,0,0,0,,0,0,13.3,63.1,3.89,6,7.14208984375,7.17138671875,2026-09-24T21:03:21,2026-09-24T21:04:37,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,0.987,0.984,0.992,0.992
e1c_r_2,tsvc/s241,s241,,default,claude-haiku-4-5-20251001,1,no-change,1.011,3.6846,1.138228,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,3,0,0,1,True,,79,52365,365300,0.4185,521.7,4,1,2,False,0,2,0,0,0,original,2,2,934.3,64.3,3.89,6,8.3603515625,6.92919921875,2026-09-24T19:45:51,2026-09-24T20:02:30,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.004,1.006,1.011,1.016
e1c_r_2,tsvc/s241,s241,,default,claude-haiku-4-5-20251001,2,FASTER,1.478,3.8191,1.201775,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,1,1,,1,0,0,1,True,,26,25703,66742,0.2006,245.9,4,0,1,False,0,1,0,0,0,original,1,0,697.4,63.5,3.89,6,6.92919921875,10.8837890625,2026-09-24T20:02:30,2026-09-24T20:15:11,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.232,1.063,1.478,1.144
e1c_r_2,tsvc/s241,s241,,default,claude-haiku-4-5-20251001,3,FASTER,1.439,3.6454,1.126132,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,1,1,,1,0,0,1,True,,26,29110,58042,0.2183,223.4,4,0,1,False,0,1,0,0,0,original,1,0,673.1,61.4,3.89,6,10.8837890625,8.77294921875,2026-09-24T20:15:11,2026-09-24T20:27:26,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.281,1.065,1.439,1.089
e1c_r_2,tsvc/s241,s241,,default,claude-haiku-4-5-20251001,4,FASTER,1.238,3.7216,1.193185,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,1,0,0,1,True,,26,14519,55275,0.1203,146.9,3,0,1,False,0,1,0,0,0,original,1,0,578.4,64.2,3.89,6,8.77294921875,9.42431640625,2026-09-24T20:27:26,2026-09-24T20:38:08,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.14,1.023,1.238,1.067
e1c_r_2,tsvc/s241,s241,,default,claude-haiku-4-5-20251001,5,FASTER,1.227,3.6164,1.121795,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,1,1,,2,0,0,1,True,,68,27860,256022,0.2357,215.8,5,0,1,False,0,1,0,0,0,original,1,0,681.8,63.1,3.89,6,9.42431640625,9.19287109375,2026-09-24T20:38:08,2026-09-24T20:50:33,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.222,1.002,1.227,1.021
e1c_r_2,tsvc/s241,s241,,discopop_gate,claude-haiku-4-5-20251001,1,no-change,0.994,3.5905,1.110465,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,121.4,63.7,3.89,6,7.17578125,6.78466796875,2026-09-24T19:30:07,2026-09-24T19:33:13,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,0.983,0.99,0.994,0.996
e1c_r_2,tsvc/s241,s241,,discopop_gate,claude-haiku-4-5-20251001,2,no-change,1.006,3.6234,1.120329,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,126.2,64.2,3.89,6,6.78466796875,11.1826171875,2026-09-24T19:33:13,2026-09-24T19:36:23,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.006,1.002,1.002,0.999
e1c_r_2,tsvc/s241,s241,,discopop_gate,claude-haiku-4-5-20251001,3,no-change,0.995,3.5947,1.107948,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,126.5,63.8,3.89,6,11.1826171875,7.99169921875,2026-09-24T19:36:23,2026-09-24T19:39:33,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,0.983,0.99,0.995,0.993
e1c_r_2,tsvc/s241,s241,,discopop_gate,claude-haiku-4-5-20251001,4,no-change,1.03,3.7619,1.179559,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,122.6,66.9,3.89,6,7.99169921875,11.341796875,2026-09-24T19:39:34,2026-09-24T19:42:43,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,0.993,0.992,1.03,0.997
e1c_r_2,tsvc/s241,s241,,discopop_gate,claude-haiku-4-5-20251001,5,no-change,1.066,3.7113,1.199491,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,123.0,65.3,3.89,6,11.341796875,8.3603515625,2026-09-24T19:42:43,2026-09-24T19:45:51,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.066,0.982,1.063,1.014
e1c_r_2,tsvc/s243,s243,,bare_llm,claude-haiku-4-5-20251001,1,parallel-not-faster,0.364,3.7963,1.342624,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,42,11152,77448,0.0943,105.4,0,0,0,False,0,0,0,0,0,,0,0,106.7,93.7,3.59,6,10.4765625,11.92529296875,2026-09-24T22:10:11,2026-09-24T22:13:31,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,0.355,0.601,0.364,0.618
e1c_r_2,tsvc/s243,s243,,bare_llm,claude-haiku-4-5-20251001,2,parallel-not-faster,0.349,3.7871,1.349764,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,34,8867,53113,0.0739,61.6,0,0,0,False,0,0,0,0,0,,0,0,62.9,95.0,3.59,6,11.92529296875,11.52001953125,2026-09-24T22:13:31,2026-09-24T22:16:09,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,0.347,0.59,0.349,0.596
e1c_r_2,tsvc/s243,s243,,bare_llm,claude-haiku-4-5-20251001,3,parallel-not-faster,1.066,3.8482,1.36346,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,74,9267,146451,0.0869,93.1,0,0,0,False,0,0,0,0,0,,0,0,94.4,68.6,3.59,6,11.52001953125,12.095703125,2026-09-24T22:16:09,2026-09-24T22:18:52,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,1.066,0.993,1.036,0.968
e1c_r_2,tsvc/s243,s243,,bare_llm,claude-haiku-4-5-20251001,4,parallel-not-faster,0.461,4.0408,1.465955,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,34,20055,53117,0.1512,189.8,0,0,0,False,0,0,0,0,0,,0,0,191.2,92.0,3.59,6,12.0078125,15.8798828125,2026-09-24T22:18:52,2026-09-24T22:23:36,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,0.405,0.645,0.461,0.695
e1c_r_2,tsvc/s243,s243,,bare_llm,claude-haiku-4-5-20251001,5,parallel-not-faster,0.358,3.7992,1.335369,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,,,,,,1,0,0,1,True,,34,8192,53153,0.0693,82.1,0,0,0,False,0,0,0,0,0,,0,0,83.5,94.0,3.59,6,15.8798828125,5.3935546875,2026-09-24T22:23:36,2026-09-24T22:26:33,EXTRALARGE,True,True,,-DEXTRALARGE_DATASET,0.349,0.601,0.358,0.612
e1c_r_2,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,1,parallel-not-faster,1.062,3.7879,1.34432,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,1,0,0,1,True,,26,16962,58479,0.1387,133.7,2,0,1,False,0,1,0,0,0,original,1,0,556.0,67.2,3.59,6,4.65673828125,8.5927734375,2026-09-24T21:21:08,2026-09-24T21:31:31,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.016,0.987,1.062,0.991
e1c_r_2,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,2,FASTER,1.338,3.7583,1.340206,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,1,0,0,1,True,,26,15423,56381,0.1274,149.3,3,0,1,False,0,1,0,0,0,original,1,0,592.4,63.5,3.59,6,8.5927734375,7.28173828125,2026-09-24T21:31:31,2026-09-24T21:42:27,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.267,1.07,1.338,1.076
e1c_r_2,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,3,no-change,0.999,3.758,1.339433,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,1,0,0,1,True,,26,16241,47610,0.1329,159.9,2,0,1,False,0,1,0,0,0,original,1,2,644.8,66.6,3.59,6,7.28173828125,6.7490234375,2026-09-24T21:42:27,2026-09-24T21:54:19,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,0.999,0.995,0.996,0.99
e1c_r_2,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,4,no-change,1.07,3.8868,1.44151,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,1,0,0,1,True,,26,14816,55093,0.1224,155.6,2,0,1,False,0,1,0,0,0,original,1,1,293.2,67.5,3.59,6,6.7490234375,9.06884765625,2026-09-24T21:54:19,2026-09-24T22:00:19,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.063,1.022,1.07,1.022
e1c_r_2,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,5,FASTER,1.129,3.8341,1.348392,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,1,0,0,1,True,,26,15923,52405,0.1308,157.7,2,0,1,False,0,1,0,0,0,original,1,0,524.6,66.8,3.59,6,9.06884765625,10.4765625,2026-09-24T22:00:19,2026-09-24T22:10:11,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.129,1.021,1.112,1.014
e1c_r_2,tsvc/s243,s243,,discopop_gate,claude-haiku-4-5-20251001,1,no-change,0.999,3.8328,1.34676,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,128.1,67.5,3.59,6,7.17138671875,5.916015625,2026-09-24T21:04:41,2026-09-24T21:07:57,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,0.999,0.993,0.999,0.999
e1c_r_2,tsvc/s243,s243,,discopop_gate,claude-haiku-4-5-20251001,2,no-change,1.074,4.1823,1.446171,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,132.5,69.7,3.59,6,5.916015625,5.40185546875,2026-09-24T21:07:57,2026-09-24T21:11:19,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.066,1.076,1.074,1.082
e1c_r_2,tsvc/s243,s243,,discopop_gate,claude-haiku-4-5-20251001,3,no-change,1.005,3.8509,1.345414,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,,0,0,129.3,67.5,3.59,6,5.40185546875,5.09033203125,2026-09-24T21:11:19,2026-09-24T21:14:36,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.005,1.006,1.005,1.006
