run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,phase_b_deferred,phase_b_joint_kept,dp_floor,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e2c_smoke,tsvc/s121,s121,,bare_llm,claude-haiku-4-5-20251001,1,BROKEN,4.021,5.5581,3.061177,kernel,False,False,False,0.0001451092812640118,0.02676496917150302,0.02819880360419966,0.00015091071095805713,True,True,1,,,,,,1,0,0,1,True,,73,4619,126270,0.0536,49.4,0,0,0,False,0,0,0,0,0,,0,0,50.6,72.2,4.14,5,3886.0107421875,4727.1494140625,2026-09-23T21:27:42,2026-09-23T21:29:45,EXTRALARGE,True,True,,-DLARGE_DATASET,3.521,1.658,4.021,1.681
e2c_smoke,tsvc/s121,s121,,compiler_remarks_b1,claude-haiku-4-5-20251001,1,no-change,0.977,5.3728,2.935473,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,1,True,,26,8229,39282,0.0709,65.2,3,0,1,False,0,1,0,0,0,original,1,2,750.3,95.4,4.14,5,5021.65673828125,5546.52783203125,2026-09-23T21:08:06,2026-09-23T21:22:12,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.976,0.977,0.977,0.971
e2c_smoke,tsvc/s121,s121,,default,claude-haiku-4-5-20251001,1,no-change,1.025,5.5329,3.065347,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,1,True,,26,9618,44475,0.0875,105.5,3,0,1,False,0,1,0,0,0,original,1,2,189.8,96.3,4.14,5,5690.3828125,4388.021484375,2026-09-23T20:48:33,2026-09-23T20:53:19,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.024,1.003,1.025,1.001
e2c_smoke,tsvc/s121,s121,,discopop_gate,claude-haiku-4-5-20251001,1,no-change,1.033,5.5368,3.045047,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,0,0,0,1,True,,,,,,,0,0,0,False,0,0,0,0,0,,0,0,4.8,95.6,4.14,5,5088.24365234375,5690.3828125,2026-09-23T20:46:53,2026-09-23T20:48:33,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.993,1.004,1.033,1.02
e2c_smoke,tsvc/s121,s121,,full_b1,claude-haiku-4-5-20251001,1,FASTER,1.505,5.4543,3.055618,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,1,True,,26,7512,45166,0.0696,84.5,4,0,1,False,0,1,0,2,1,original,1,0,243.8,88.9,4.14,5,4388.021484375,5871.89013671875,2026-09-23T20:53:19,2026-09-23T20:58:52,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.09,1.027,1.505,1.181
e2c_smoke,tsvc/s121,s121,,hotspot_only_b1,claude-haiku-4-5-20251001,1,FASTER,1.658,5.572,3.037373,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,1,True,,26,12946,47943,0.1042,98.3,4,0,1,False,0,1,0,2,1,original,1,0,244.5,85.5,4.14,5,5546.52783203125,3886.0107421875,2026-09-23T21:22:12,2026-09-23T21:27:42,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.44,1.206,1.658,1.287
e2c_smoke,tsvc/s121,s121,,no_evidence,claude-haiku-4-5-20251001,1,no-change,0.975,5.4354,2.963218,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,1,True,,26,9137,37704,0.0793,87.4,3,0,1,False,0,1,0,0,0,original,1,2,171.4,96.0,4.14,5,5871.89013671875,4502.29443359375,2026-09-23T20:58:52,2026-09-23T21:03:19,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.975,0.978,0.971,0.977
e2c_smoke,tsvc/s121,s121,,no_evidence_b1,claude-haiku-4-5-20251001,1,FASTER,1.563,5.4862,3.035373,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,1,True,,26,3920,38965,0.0404,40.6,4,0,1,False,0,1,0,2,1,original,1,0,196.8,87.2,4.14,5,4502.29443359375,5003.17236328125,2026-09-23T21:03:19,2026-09-23T21:08:03,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.341,1.138,1.563,1.23
e2c_smoke,tsvc/s281,s281,,bare_llm,claude-haiku-4-5-20251001,1,BROKEN,3.5,1.4307,1.047145,kernel,False,False,False,0.35866163297509035,0.9442553978103175,0.9914928147826843,0.051927555716649886,False,True,2,,,,,,1,0,0,3,True,,89,11903,189177,0.1169,119.8,0,0,0,False,0,0,0,0,0,,0,0,121.0,15.4,1204.47,5,4740.1279296875,5181.66943359375,2026-09-23T22:38:36,2026-09-23T22:40:52,LARGE,True,True,,-DLARGE_DATASET,2.464,2.391,3.5,3.113
e2c_smoke,tsvc/s281,s281,,compiler_remarks_b1,claude-haiku-4-5-20251001,1,no-change,1.0,1.3997,1.033099,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,3,0,0,3,True,,86,50530,163530,0.3982,415.8,3,0,0,False,0,0,0,0,0,original,0,0,425.1,24.9,1204.47,5,5379.5283203125,4780.6328125,2026-09-23T22:21:49,2026-09-23T22:29:19,LARGE,True,True,0.01,-DLARGE_DATASET,0.996,0.992,1.0,0.993
