run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,phase_b_deferred,phase_b_joint_kept,dp_floor,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e2c_ab_2,tsvc/s212,s212,,full_b1,claude-haiku-4-5-20251001,1,no-change,0.996,1.441,1.071279,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,2,True,,26,15097,55930,0.1244,150.2,2,0,1,False,0,1,0,1,0,original,1,1,248.3,25.4,603.96,5,5.447265625,5.5986328125,2026-09-25T05:25:32,2026-09-25T05:30:06,LARGE,True,True,0.01,-DLARGE_DATASET,0.996,1.007,0.982,0.991
e2c_ab_2,tsvc/s212,s212,,full_b1,claude-haiku-4-5-20251001,2,FASTER,1.288,1.4709,1.098453,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,0,,2,0,0,2,True,,52,24674,92277,0.2086,232.5,3,0,1,False,0,1,0,0,0,original,1,0,345.5,24.0,603.96,5,5.5986328125,7.82421875,2026-09-25T05:30:06,2026-09-25T05:36:15,LARGE,True,True,0.01,-DLARGE_DATASET,1.23,1.122,1.288,1.126
e2c_ab_2,tsvc/s212,s212,,full_b1,claude-haiku-4-5-20251001,3,FASTER,2.053,1.4517,1.066474,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,2,0,0,2,True,,52,19466,98109,0.1716,180.3,4,0,1,False,0,1,0,0,0,original,1,0,366.4,20.4,603.96,5,7.82421875,11.408203125,2026-09-25T05:36:15,2026-09-25T05:42:42,LARGE,True,True,0.01,-DLARGE_DATASET,1.812,1.388,2.053,1.537
e2c_ab_2,tsvc/s212,s212,,full_b1,claude-haiku-4-5-20251001,4,FASTER,2.184,1.4463,1.084671,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,2,True,,26,13714,54284,0.1148,100.0,3,0,1,False,0,1,0,0,0,original,1,0,228.8,20.1,603.96,5,11.408203125,13.31005859375,2026-09-25T05:42:42,2026-09-25T05:46:51,LARGE,True,True,0.01,-DLARGE_DATASET,2.081,1.516,2.184,1.536
e2c_ab_2,tsvc/s212,s212,,full_b1,claude-haiku-4-5-20251001,5,no-change,1.029,1.4947,1.10627,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,2,True,,26,13445,54446,0.1129,104.0,2,0,1,False,0,1,0,0,0,original,1,2,409.1,25.5,603.96,5,13.31005859375,11.8662109375,2026-09-25T05:46:51,2026-09-25T05:54:06,LARGE,True,True,0.01,-DLARGE_DATASET,1.028,1.045,1.029,1.049
e2c_ab_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,1,FASTER,3.424,1.4329,1.062242,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,2,True,,26,5671,39079,0.0523,54.5,3,0,1,False,0,1,0,0,0,original,1,0,158.0,18.0,603.96,5,11.8662109375,8.06103515625,2026-09-25T05:54:06,2026-09-25T05:57:02,LARGE,True,True,0.01,-DLARGE_DATASET,3.424,1.943,3.168,1.831
e2c_ab_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,2,no-change,1.017,1.4372,1.077716,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,2,True,,26,10869,38965,0.0893,102.0,2,0,1,False,0,1,0,1,0,original,1,1,206.9,25.2,603.96,5,8.06103515625,11.47705078125,2026-09-25T05:57:02,2026-09-25T06:00:54,LARGE,True,True,0.01,-DLARGE_DATASET,1.014,1.002,1.017,1.008
e2c_ab_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,3,FASTER,1.254,1.429,1.072573,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,0,,1,0,0,2,True,,26,8990,38963,0.0759,86.1,2,0,1,False,0,1,0,0,0,original,1,0,194.9,23.4,603.96,5,11.47705078125,10.68701171875,2026-09-25T06:00:54,2026-09-25T06:04:32,LARGE,True,True,0.01,-DLARGE_DATASET,1.254,1.143,1.252,1.103
e2c_ab_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,4,FASTER,1.237,1.4424,1.087467,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,0,,1,0,0,2,True,,26,5430,38958,0.0507,56.7,2,0,1,False,0,1,0,0,0,original,1,0,167.5,24.2,603.96,5,10.68701171875,9.423828125,2026-09-25T06:04:32,2026-09-25T06:07:44,LARGE,True,True,0.01,-DLARGE_DATASET,1.237,1.093,1.236,1.078
e2c_ab_2,tsvc/s212,s212,,no_evidence,claude-haiku-4-5-20251001,5,FASTER,2.507,1.562,1.134331,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,2,True,,26,7645,38953,0.0665,73.0,3,0,1,False,0,1,0,0,0,original,1,0,237.4,20.6,603.96,5,9.423828125,13.0263671875,2026-09-25T06:07:44,2026-09-25T06:12:02,LARGE,True,True,0.01,-DLARGE_DATASET,2.36,1.613,2.507,1.661
