run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e10,polybench/2mm,2mm,A,full,claude-haiku-4-5-20251001,1,FASTER,7.464,6.5757,6.562626,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,26,12745,74297,0.119,124.8,1,0,1,0,137.8,52.8,4.14,22,1118.88427734375,1602.1162109375,2026-09-19T11:14:09,2026-09-19T11:17:20,STANDARD,True,False,0.01,,4.698,4.67,7.464,7.342
e10,polybench/2mm,2mm,A,full,claude-haiku-4-5-20251001,2,FASTER,11.081,6.9974,6.983902,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,42,10335,138135,0.1062,109.9,1,0,1,0,122.7,52.8,4.14,22,1602.1162109375,905.4267578125,2026-09-19T11:17:20,2026-09-19T11:20:16,STANDARD,True,False,0.01,,5.728,5.672,11.081,10.847
e10,polybench/2mm,2mm,A,full,claude-haiku-4-5-20251001,3,FASTER,10.146,6.6279,6.614411,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,26,16329,65076,0.1387,156.7,1,0,1,0,170.3,51.5,4.14,22,905.4267578125,476.21875,2026-09-19T11:20:16,2026-09-19T11:23:58,STANDARD,True,False,0.01,,5.439,5.39,10.146,9.934
e10,polybench/2mm,2mm,A,speed_gate_large,claude-haiku-4-5-20251001,1,FASTER,10.412,7.0615,7.050556,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,42,9090,136627,0.0999,97.5,1,0,1,0,157.9,54.1,4.14,22,476.21875,2136.22119140625,2026-09-19T11:23:58,2026-09-19T11:27:30,STANDARD,True,True,0.01,-DSTANDARD_DATASET,5.384,5.333,10.412,10.227
e10,polybench/2mm,2mm,A,speed_gate_large,claude-haiku-4-5-20251001,2,FASTER,8.132,6.8922,6.877966,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,50,9301,171558,0.1033,101.8,1,0,1,0,162.5,54.9,4.14,22,2136.22119140625,2238.57275390625,2026-09-19T11:27:30,2026-09-19T11:31:07,STANDARD,True,True,0.01,-DSTANDARD_DATASET,5.188,5.148,8.132,8.033
e10,polybench/2mm,2mm,A,speed_gate_large,claude-haiku-4-5-20251001,3,FASTER,10.239,6.5615,6.551256,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,26,11354,71960,0.1051,118.3,1,0,1,0,181.8,50.3,4.14,22,2238.57275390625,962.29736328125,2026-09-19T11:31:07,2026-09-19T11:34:59,STANDARD,True,True,0.01,-DSTANDARD_DATASET,5.559,5.495,10.239,10.018
e10,polybench/2mm,2mm,A,speed_gate_small,claude-haiku-4-5-20251001,1,FASTER,6.777,6.8203,6.806833,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,42,12918,142468,0.1245,137.1,1,0,1,0,149.8,53.7,4.14,22,962.29736328125,1296.8203125,2026-09-19T11:34:59,2026-09-19T11:38:23,STANDARD,True,True,0.01,,5.262,5.213,6.777,6.709
e10,polybench/2mm,2mm,A,speed_gate_small,claude-haiku-4-5-20251001,2,no-change,0.992,6.7683,6.754377,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,6,,1,0,0,1,True,,42,9057,138846,0.0965,89.9,1,0,1,1,104.2,118.1,4.14,22,1296.8203125,1569.59521484375,2026-09-19T11:38:23,2026-09-19T11:42:05,STANDARD,True,True,0.01,,0.992,0.992,0.939,0.939
e10,polybench/2mm,2mm,A,speed_gate_small,claude-haiku-4-5-20251001,3,FASTER,7.629,6.7673,6.754616,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,0,2,1,6,,1,0,0,1,True,,34,8894,103157,0.0916,92.9,1,0,1,0,105.8,54.8,4.14,22,1569.59521484375,2398.3818359375,2026-09-19T11:42:06,2026-09-19T11:44:46,STANDARD,True,True,0.01,,4.469,4.444,7.629,7.527
e10,polybench/floyd-warshall,floyd-warshall,B,full,claude-haiku-4-5-20251001,1,BROKEN,,3.1539,3.14118,kernel,,True,True,,0.0,0.0,,,True,2,0,2,1,3,,1,0,0,1,True,,50,14534,180440,0.1347,144.0,1,0,1,0,156.5,17.4,2.84,9,547.078125,841.833984375,2026-09-19T12:15:11,2026-09-19T12:18:05,LARGE,True,False,0.01,,,,,
