run_id,benchmark,kernel,group,arm,model,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
e10,polybench/2mm,2mm,A,full,claude-haiku-4-5-20251001,1,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,7.464,0.724,True,1,1,worse
e10,polybench/2mm,2mm,A,full,claude-haiku-4-5-20251001,2,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,11.081,1.074,True,1,1,equal
e10,polybench/2mm,2mm,A,full,claude-haiku-4-5-20251001,3,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,10.146,0.984,True,1,1,equal
e10,polybench/2mm,2mm,A,speed_gate_large,claude-haiku-4-5-20251001,1,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,10.412,1.01,True,1,1,equal
e10,polybench/2mm,2mm,A,speed_gate_large,claude-haiku-4-5-20251001,2,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,8.132,0.789,True,1,1,worse
e10,polybench/2mm,2mm,A,speed_gate_large,claude-haiku-4-5-20251001,3,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,10.239,0.993,True,1,1,equal
e10,polybench/2mm,2mm,A,speed_gate_small,claude-haiku-4-5-20251001,1,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,6.777,0.657,True,1,1,worse
e10,polybench/2mm,2mm,A,speed_gate_small,claude-haiku-4-5-20251001,2,3,"FASTER,FASTER,FASTER",True,10.313,no-change,1.0,0.097,True,0,1,lost
e10,polybench/2mm,2mm,A,speed_gate_small,claude-haiku-4-5-20251001,3,3,"FASTER,FASTER,FASTER",True,10.313,FASTER,7.629,0.74,True,1,1,worse
e10,polybench/floyd-warshall,floyd-warshall,B,full,claude-haiku-4-5-20251001,1,3,"no-change,no-change,no-change",False,1.0,BROKEN,,,False,1,1,unsafe
e10,polybench/floyd-warshall,floyd-warshall,B,full,claude-haiku-4-5-20251001,2,3,"no-change,no-change,no-change",False,1.0,FASTER,4.666,4.666,True,1,2,gained
