run_id,benchmark,arm,model,repeat,phase,stage,count
e10_dp_alone,polybench/floyd-warshall,discopop_gate,none,1,B,tsan,3
e10_dp_alone,polybench/floyd-warshall,discopop_gate,none,2,B,tsan,3
e10_dp_alone,polybench/floyd-warshall,discopop_gate,none,3,B,tsan,3
e10_dp_alone,polybench/jacobi-2d-imper,discopop_gate,none,1,B,tsan,1
e10_dp_alone,polybench/jacobi-2d-imper,discopop_gate,none,2,B,tsan,1
e10_dp_alone,polybench/jacobi-2d-imper,discopop_gate,none,3,B,tsan,1
e10_dp_alone,polybench/seidel-2d,discopop_gate,none,1,B,tsan,2
e10_dp_alone,polybench/seidel-2d,discopop_gate,none,1,B,correctness,1
e10_dp_alone,polybench/seidel-2d,discopop_gate,none,2,B,tsan,3
e10_dp_alone,polybench/seidel-2d,discopop_gate,none,3,B,tsan,2
e10_dp_alone,polybench/seidel-2d,discopop_gate,none,3,B,correctness,1
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,1,B,schedules,3
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,1,B,tsan,2
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,1,B,correctness,1
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,2,B,correctness,3
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,2,B,tsan,2
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,2,B,schedules,1
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,3,B,correctness,3
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,3,B,tsan,2
e10_dp_alone,rodinia-3.1/hotspot,discopop_gate,none,3,B,schedules,1
