kernel,size,runs,timed_out,kernel_s_median,program_s_median,kernel_share,failure
2mm,SMALL,3,False,0.003180421,0.004760741954669356,0.6680515411847998,
2mm,STANDARD,3,False,7.050419307,7.0622510279063135,0.9983246530235812,
3mm,SMALL,3,False,0.004905574,0.0063529841136187315,0.7721684663879522,
3mm,STANDARD,3,False,10.261061304,10.27364473999478,0.9987751731431989,
adi,SMALL,3,False,0.016443032,0.019534062827005982,0.8417620105771028,
adi,STANDARD,3,False,0.355440035,0.3652670020237565,0.9730964829308141,
adi,LARGE,3,False,1.484020544,1.5154373878613114,0.9792687945322182,
atax,SMALL,3,False,0.000436833,0.0028131490107625723,0.15528256709074428,
atax,STANDARD,3,False,0.011104105,0.04852918116375804,0.2288129478741881,
atax,LARGE,3,False,0.041740885,0.1845367990899831,0.22619274424309524,
atax,EXTRALARGE,0,False,,,,"atax.EXTRALARGE: exit -11, timer line missing"
bicg,SMALL,3,False,0.000926347,0.0032243619207292795,0.2872962225625344,
bicg,STANDARD,3,False,0.044120441,0.08028428698889911,0.5495526292224595,
bicg,LARGE,3,False,0.177345899,0.31924029695801437,0.5555247902282339,
bicg,EXTRALARGE,0,False,,,,"bicg.EXTRALARGE: exit -11, timer line missing"
correlation,SMALL,3,False,0.056543065,0.05900008184835315,0.9583557044095571,
correlation,STANDARD,3,False,0.458739647,0.46369285113178194,0.9893179199987833,
correlation,LARGE,3,False,4.140946235,4.155505874892697,0.9964963014537737,
covariance,SMALL,3,False,0.056868627,0.059187223203480244,0.9608260689049539,
covariance,STANDARD,3,False,0.460948851,0.466264836024493,0.9885987863253455,
covariance,LARGE,3,False,4.169097935,4.184348928043619,0.9963552291393755,
doitgen,SMALL,3,False,0.000493073,0.0018734331242740154,0.26319220772349344,
doitgen,STANDARD,3,False,0.198108419,0.20591420191340148,0.9620920614466202,
doitgen,LARGE,3,False,4.695686212,4.751623342046514,0.9882277853230634,
dynprog,SMALL,3,False,0.001408819,0.002630768110975623,0.5355162220958875,
dynprog,STANDARD,3,False,0.078363303,0.07951084082014859,0.9855675300586458,
dynprog,LARGE,3,False,11.091086429,11.106766694923863,0.9985882240660526,
fdtd-2d,SMALL,3,False,0.001990794,0.005204865941777825,0.38248708463757375,
fdtd-2d,STANDARD,3,False,0.040880618,0.05096980696544051,0.8020555782704578,
fdtd-2d,LARGE,3,False,0.215368634,0.2525273961946368,0.852852550833746,
fdtd-2d,EXTRALARGE,3,False,1.896050513,2.036150525091216,0.9311936861421679,
fdtd-apml,SMALL,3,False,0.003035211,0.00710607785731554,0.4271288692503307,
