kernel,profile,seconds,failure,patterns_sha,patterns,patterns_by_type,blockers,deps_sha,deps_masked_sha,deps_triples_sha
2mm,1,3.7,,39fdb7b5046b,40,"{""do_all"": 22, ""task"": 18}",0,76f472d0659b,8d3a73cfdb93,531a2f7b1a4c
2mm,2,3.8,,268b8856ae4b,40,"{""do_all"": 22, ""task"": 18}",0,00abc882550f,831979ffb539,531a2f7b1a4c
2mm,3,4.0,,1fad279459bb,40,"{""do_all"": 22, ""task"": 18}",0,0ada91908aa0,8d3a73cfdb93,531a2f7b1a4c
2mm,4,3.9,,e324ea957209,37,"{""do_all"": 22, ""task"": 15}",0,d3d782f23265,06ad33a9a4f8,531a2f7b1a4c
2mm,5,4.1,,8dff2ce44f36,82,"{""do_all"": 22, ""task"": 60}",0,27394b62eb24,06ad33a9a4f8,531a2f7b1a4c
2mm,6,3.8,,079bfd203f86,82,"{""do_all"": 22, ""task"": 60}",0,0e2f46572b49,8d3a73cfdb93,531a2f7b1a4c
2mm,7,3.8,,7f73bb87bb63,43,"{""do_all"": 22, ""task"": 21}",0,1f4611dbee4c,c2e9f8bb14aa,531a2f7b1a4c
2mm,8,3.5,,aa09d82bd2b8,37,"{""do_all"": 22, ""task"": 15}",0,a24bc98b00a5,4fe9318647f1,531a2f7b1a4c
2mm,9,3.8,,9b897551ae1f,82,"{""do_all"": 22, ""task"": 60}",0,5e413fdbb89a,5e3a3deb27d3,531a2f7b1a4c
2mm,10,3.5,,3a400ba37f36,43,"{""do_all"": 22, ""task"": 21}",0,f84d5b0cfd68,c2e9f8bb14aa,531a2f7b1a4c
jacobi-2d-imper,1,3.4,,437af6e5445f,44,"{""do_all"": 11, ""task"": 33}",1,461a80cf76ff,72e184ef114a,422f77f62954
jacobi-2d-imper,2,3.1,,35032e5d4366,21,"{""do_all"": 12, ""task"": 9}",0,10fc78742dd9,72e184ef114a,422f77f62954
jacobi-2d-imper,3,3.1,,e3d9ca605b68,30,"{""do_all"": 12, ""task"": 18}",0,0b373e9d8700,07bf051cad3b,422f77f62954
jacobi-2d-imper,4,3.2,,4e106778411a,24,"{""do_all"": 12, ""task"": 12}",0,2ba6319bff28,72e184ef114a,422f77f62954
jacobi-2d-imper,5,3.3,,bd547c369f52,47,"{""do_all"": 11, ""task"": 36}",1,e01360321255,72e184ef114a,422f77f62954
jacobi-2d-imper,6,3.5,,0300e4432626,41,"{""do_all"": 11, ""task"": 30}",1,21fd4f955c89,72e184ef114a,422f77f62954
