kernel,profile,seconds,failure,patterns_sha,patterns,patterns_by_type,blockers,deps_sha,deps_masked_sha,deps_triples_sha
2mm,1,4.2,,f66f137a1251,74,"{""do_all"": 21, ""reduction"": 2, ""task"": 51}",0,ce3e517cb81f,597f0a80c34a,0d01231f7eb5
2mm,2,4.2,,3a429abc69de,77,"{""do_all"": 21, ""reduction"": 2, ""task"": 54}",0,2e7fe52eb99e,ded7c8647e73,0d01231f7eb5
2mm,3,3.4,,ea5a3ff7e375,33,"{""do_all"": 21, ""task"": 12}",0,912810530d35,a7614f8b4c75,0d01231f7eb5
2mm,4,3.5,,acdc0be4fa83,36,"{""do_all"": 21, ""task"": 15}",0,a53a432148a8,a7614f8b4c75,0d01231f7eb5
2mm,5,3.4,,82542f5990f7,39,"{""do_all"": 21, ""task"": 18}",0,c9ce6c346d3a,7043fb20b710,0d01231f7eb5
2mm,6,3.9,,12b1582057cf,72,"{""do_all"": 21, ""task"": 51}",0,e8cc9b5baf8e,a7614f8b4c75,0d01231f7eb5
2mm,7,3.5,,7be2fb9ee35f,33,"{""do_all"": 21, ""task"": 12}",0,9296ab006d61,a7614f8b4c75,0d01231f7eb5
2mm,8,3.3,,ccf376d3aa58,33,"{""do_all"": 21, ""task"": 12}",0,6d384fb7ab54,ded7c8647e73,0d01231f7eb5
2mm,9,3.4,,bb6bdb79b1f3,30,"{""do_all"": 21, ""task"": 9}",0,3af85de1567f,4a442bae0285,0d01231f7eb5
2mm,10,4.2,,47e39160d0a8,77,"{""do_all"": 21, ""reduction"": 2, ""task"": 54}",0,9b77a249c0ef,93db090615ec,0d01231f7eb5
jacobi-2d-imper,1,2.9,,fa7ef3200670,14,"{""do_all"": 11, ""task"": 3}",0,9ad20e4d0ef2,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,2,3.7,,e119a86677c9,37,"{""do_all"": 10, ""task"": 27}",1,b5dcd054229b,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,3,3.5,,b6e161ea719d,34,"{""do_all"": 10, ""task"": 24}",1,68b66562d19b,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,4,3.3,,8e70cc15b94f,23,"{""do_all"": 11, ""task"": 12}",0,e718ae3d5a33,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,5,3.4,,0cf37c574eb6,37,"{""do_all"": 10, ""task"": 27}",1,ac2c654eb584,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,6,3.3,,0fd6155ff0c4,34,"{""do_all"": 10, ""task"": 24}",1,1fa53ac17c0f,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,7,3.5,,0ea7f7798b1d,40,"{""do_all"": 10, ""task"": 30}",1,c30f2e4f358a,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,8,3.2,,584d547c15e4,26,"{""do_all"": 11, ""task"": 15}",0,41ebee5b3005,4c5d75ab9dc9,064d753299e2
jacobi-2d-imper,9,3.4,,4cad2810f2f0,37,"{""do_all"": 10, ""task"": 27}",1,881905af0af8,4bb77a885a3b,064d753299e2
jacobi-2d-imper,10,3.4,,5291b020f615,34,"{""do_all"": 10, ""task"": 24}",1,9a738755a6ec,4c5d75ab9dc9,064d753299e2
floyd-warshall,1,2.6,,76a692141b8a,14,"{""do_all"": 8, ""task"": 6}",0,052ab0bae132,4e01b64c0ce7,4dcb368f50bc
floyd-warshall,2,2.8,,d0c66cc3725d,26,"{""do_all"": 5, ""task"": 21}",3,3977e8b119cf,711065504f0c,4dcb368f50bc
floyd-warshall,3,3.1,,b2c5f6e06499,23,"{""do_all"": 5, ""task"": 18}",3,d27c9fbe2635,621b59e65d58,4dcb368f50bc
floyd-warshall,4,2.5,,68383c5cd204,14,"{""do_all"": 8, ""task"": 6}",0,6c61a42c9fb1,2698307a3a7d,4dcb368f50bc
floyd-warshall,5,3.1,,2898a9d08017,23,"{""do_all"": 5, ""task"": 18}",3,aacb70723e98,4e953edd14ce,4dcb368f50bc
floyd-warshall,6,2.8,,1c87c71489fa,26,"{""do_all"": 5, ""task"": 21}",3,4c72c5b58a38,cdd6daa7f2cc,4dcb368f50bc
floyd-warshall,7,2.6,,45f8ef68fe78,26,"{""do_all"": 5, ""task"": 21}",3,0d1300ec1a89,eb4dde5dffe1,4dcb368f50bc
floyd-warshall,8,2.6,,75b69ff15f64,11,"{""do_all"": 8, ""task"": 3}",0,12581de404a8,9934138c083c,4dcb368f50bc
floyd-warshall,9,2.9,,28cacb0bcd9c,23,"{""do_all"": 5, ""task"": 18}",3,47a94873cb1d,028884d337b4,4dcb368f50bc
floyd-warshall,10,2.8,,94b8bfd7bc88,23,"{""do_all"": 5, ""task"": 18}",3,d6b6a444dafa,621b59e65d58,4dcb368f50bc
seidel-2d,1,2.3,,2bc36d1fc0b0,11,"{""do_all"": 8, ""task"": 3}",0,c90471e39fb8,f6207cee140d,d63ee050255e
seidel-2d,2,2.6,,8f32a531b1c0,26,"{""do_all"": 5, ""task"": 21}",3,b16966e1d2ff,f6207cee140d,d63ee050255e
seidel-2d,3,2.4,,a1260a21b1dd,14,"{""do_all"": 8, ""task"": 6}",0,ea84c87007d5,f6207cee140d,d63ee050255e
seidel-2d,4,2.5,,a4d6f0e8e9d5,11,"{""do_all"": 8, ""task"": 3}",0,b8df789709f9,f6207cee140d,d63ee050255e
seidel-2d,5,2.4,,1ffa6038141a,11,"{""do_all"": 8, ""task"": 3}",0,f385107d1474,f6207cee140d,d63ee050255e
seidel-2d,6,2.4,,76052fc439c9,11,"{""do_all"": 8, ""task"": 3}",0,c0042609bef6,f6207cee140d,d63ee050255e
seidel-2d,7,2.6,,4681934b5cc2,26,"{""do_all"": 5, ""task"": 21}",3,aa46e0472855,f6207cee140d,d63ee050255e
seidel-2d,8,2.6,,c998325d973e,11,"{""do_all"": 8, ""task"": 3}",0,0e2be153bf58,f6207cee140d,d63ee050255e
