kernel,profile,seconds,failure,patterns_sha,patterns,patterns_by_type,blockers,deps_sha,deps_masked_sha,deps_triples_sha
2mm,1,3.6,,b48ec881b759,37,"{""do_all"": 22, ""task"": 15}",0,f699ec1ee548,867953156ae0,531a2f7b1a4c
2mm,2,3.7,,060c879191d0,40,"{""do_all"": 22, ""task"": 18}",0,dadd05c3eb3f,8d3a73cfdb93,531a2f7b1a4c
2mm,3,3.5,,f4c2f9b58755,40,"{""do_all"": 22, ""task"": 18}",0,1dbef28f2833,8d3a73cfdb93,531a2f7b1a4c
2mm,4,3.5,,16bbda61b317,34,"{""do_all"": 22, ""task"": 12}",0,dc789fbffe43,8d3a73cfdb93,531a2f7b1a4c
2mm,5,3.4,,f083c41863c6,34,"{""do_all"": 22, ""task"": 12}",0,175834dcda51,8d3a73cfdb93,531a2f7b1a4c
2mm,6,3.6,,f25470c690bb,43,"{""do_all"": 22, ""task"": 21}",0,b828454cb7dd,8d3a73cfdb93,531a2f7b1a4c
2mm,7,3.5,,04eab99f3160,37,"{""do_all"": 22, ""task"": 15}",0,225f02e8131a,8d3a73cfdb93,531a2f7b1a4c
2mm,8,3.5,,a84379f9eb5a,34,"{""do_all"": 22, ""task"": 12}",0,67545bb53067,de761e0ae6a5,531a2f7b1a4c
2mm,9,3.5,,cd743dd582f2,43,"{""do_all"": 22, ""task"": 21}",0,c5163820f9a5,8d3a73cfdb93,531a2f7b1a4c
2mm,10,4.1,,395e1cbb6368,82,"{""do_all"": 22, ""task"": 60}",0,aea09ab18ee0,5bf61227e923,531a2f7b1a4c
jacobi-2d-imper,1,3.4,,8f887ff9e0a5,24,"{""do_all"": 12, ""task"": 12}",0,bdc25af2f8d0,72e184ef114a,422f77f62954
jacobi-2d-imper,2,3.2,,75412bdd81a2,30,"{""do_all"": 12, ""task"": 18}",0,d94c5d73b378,72e184ef114a,422f77f62954
jacobi-2d-imper,3,3.4,,88034003b298,41,"{""do_all"": 11, ""task"": 30}",1,979b3d39b529,72e184ef114a,422f77f62954
jacobi-2d-imper,4,3.3,,593f107e3571,44,"{""do_all"": 11, ""task"": 33}",1,925a2cf9ead9,72e184ef114a,422f77f62954
jacobi-2d-imper,5,3.4,,b76324c70d39,44,"{""do_all"": 11, ""task"": 33}",1,cc80f84c9c90,72e184ef114a,422f77f62954
jacobi-2d-imper,6,3.0,,dee5a1e6b90e,47,"{""do_all"": 11, ""task"": 36}",1,20848ead5cd6,72e184ef114a,422f77f62954
jacobi-2d-imper,7,3.2,,17ad4f569a64,24,"{""do_all"": 12, ""task"": 12}",0,b45f1d457a17,72e184ef114a,422f77f62954
jacobi-2d-imper,8,3.1,,1c20f5cd364f,33,"{""do_all"": 12, ""task"": 21}",0,3019f51d0e58,72e184ef114a,422f77f62954
jacobi-2d-imper,9,3.4,,42a308c98d42,44,"{""do_all"": 11, ""task"": 33}",1,656c0668f4f2,72e184ef114a,422f77f62954
jacobi-2d-imper,10,3.3,,1d59328657b2,47,"{""do_all"": 11, ""task"": 36}",1,dd505e8b1663,72e184ef114a,422f77f62954
floyd-warshall,1,2.6,,baa598187de9,18,"{""do_all"": 9, ""task"": 9}",0,933012b6e238,a0cf2a1c58dd,8a9fbae24f0e
floyd-warshall,2,2.6,,52c487759d95,18,"{""do_all"": 9, ""task"": 9}",0,a6a9ec63edfb,58cad9e3f868,8a9fbae24f0e
floyd-warshall,3,2.9,,25e69808d5c3,30,"{""do_all"": 6, ""task"": 24}",3,c78f1b008c58,031f063ea00f,8a9fbae24f0e
floyd-warshall,4,2.8,,ab38df6e7077,18,"{""do_all"": 9, ""task"": 9}",0,53dcd335893e,60106bcbcb2e,8a9fbae24f0e
floyd-warshall,5,3.2,,ebe8f32615e0,30,"{""do_all"": 6, ""task"": 24}",3,de48aff3dc55,d20cc37aa9fb,8a9fbae24f0e
floyd-warshall,6,2.9,,7ee86377d843,33,"{""do_all"": 6, ""task"": 27}",3,3154d2e78741,08631e8ded70,8a9fbae24f0e
floyd-warshall,7,3.2,,1450296e1e77,33,"{""do_all"": 6, ""task"": 27}",3,1aa1d0abe219,60106bcbcb2e,8a9fbae24f0e
floyd-warshall,8,3.1,,860a1306914f,33,"{""do_all"": 6, ""task"": 27}",3,a291ef1640d3,3ec10839632f,8a9fbae24f0e
floyd-warshall,9,2.9,,6ba8c5d85082,33,"{""do_all"": 6, ""task"": 27}",3,ce70ae59ccaf,a0cf2a1c58dd,8a9fbae24f0e
floyd-warshall,10,2.8,,573eb23e0d74,30,"{""do_all"": 6, ""task"": 24}",3,541c230a8621,7eac9949e415,8a9fbae24f0e
seidel-2d,1,2.6,,f21d2380092f,33,"{""do_all"": 6, ""task"": 27}",3,4096ce7227c1,9e15821a11fe,d0b7ea41f2d0
seidel-2d,2,2.5,,5002caa28e50,33,"{""do_all"": 6, ""task"": 27}",3,b1f3a48de3c9,9e15821a11fe,d0b7ea41f2d0
seidel-2d,3,2.6,,4734015515b3,30,"{""do_all"": 6, ""task"": 24}",3,1e1fe97eaf01,9e15821a11fe,d0b7ea41f2d0
seidel-2d,4,2.5,,fc804323a124,18,"{""do_all"": 9, ""task"": 9}",0,31d51a04fb61,9e15821a11fe,d0b7ea41f2d0
seidel-2d,5,2.6,,0d1280a86980,30,"{""do_all"": 6, ""task"": 24}",3,170d6aee4946,9e15821a11fe,d0b7ea41f2d0
seidel-2d,6,2.4,,ff9109324224,18,"{""do_all"": 9, ""task"": 9}",0,ea968817896b,9e15821a11fe,d0b7ea41f2d0
seidel-2d,7,2.4,,3a446504cd49,21,"{""do_all"": 9, ""task"": 12}",0,14e0a14a6634,9e15821a11fe,d0b7ea41f2d0
seidel-2d,8,2.5,,a2dacb692469,21,"{""do_all"": 9, ""task"": 12}",0,f7b1363091fb,9e15821a11fe,d0b7ea41f2d0
seidel-2d,9,2.6,,dc4d6b4acea4,30,"{""do_all"": 6, ""task"": 24}",3,829936357cf5,9e15821a11fe,d0b7ea41f2d0
seidel-2d,10,2.5,,1d583edf464f,30,"{""do_all"": 6, ""task"": 24}",3,bb21c96ca9c1,9e15821a11fe,d0b7ea41f2d0
trisolv,1,2.1,,fd9eefeb9c49,33,"{""do_all"": 9, ""task"": 24}",0,bdadf03c028e,f6e312f02e49,617d3c970d09
trisolv,2,2.0,,f9aea3041f3c,18,"{""do_all"": 9, ""task"": 9}",0,d8d58bac1d9f,f6e312f02e49,617d3c970d09
trisolv,3,2.1,,03e64c3357cd,21,"{""do_all"": 9, ""task"": 12}",0,425251521fb8,f6e312f02e49,617d3c970d09
trisolv,4,2.1,,4de029c89582,21,"{""do_all"": 9, ""task"": 12}",0,db4cc7f24615,f6e312f02e49,617d3c970d09
trisolv,5,2.0,,82fd6db2a2a6,18,"{""do_all"": 9, ""task"": 9}",0,93b2547f7279,f6e312f02e49,617d3c970d09
