  e2e_review_2026-09-18__calib_prefix__e2e_review_2026-09-18_full__cand0001: gate FAIL@correctness, applied on original, verifying at SMALL …
  e2e_review_2026-09-18__calib_prefix__e2e_review_2026-09-18_full__cand0002: gate FAIL@correctness, applied on original, verifying at SMALL …
  e2e_review_2026-09-18__calib_prefix__e2e_review_2026-09-18_full__cand0003: gate PASS, applied on original, verifying at SMALL …
  e2e_review_2026-09-18__calib_prefix__e2e_review_2026-09-18_no_evidence_b1__cand0000: gate FAIL@schedules, applied on original, verifying at SMALL …
  e2e_review_2026-09-18__calib_prefix__e2e_review_2026-09-18_no_evidence_b1__cand0001: gate PASS, applied on original, verifying at SMALL …
  e2e_review_2026-09-18__calib_privtemp__e2e_review_2026-09-18_dp_annotates__cand0000: gate PASS, applied on original, verifying at SMALL …
  e2e_review_2026-09-18__calib_privtemp__e2e_review_2026-09-18_dp_annotates__cand0001: gate PASS, applied on original + earlier accepted, verifying at SMALL …
  e2e_review_2026-09-18__calib_privtemp__e2e_review_2026-09-18_dp_recon__cand0000: gate PASS, applied on original, verifying at SMALL …
  e2e_review_2026-09-18__calib_privtemp__e2e_review_2026-09-18_dp_recon__cand0001: gate PASS, applied on original alone (chain did not apply), verifying at SMALL …
  e2e_review_2026-09-18__calib_privtemp__e2e_review_2026-09-18_full_depth1__cand0000: gate PASS, applied on original, verifying at SMALL …
  integrity_smoke_local__calib_vecsum__discopop_gate_rep1__cand0000: gate PASS, applied on original, verifying at SMALL …
  integrity_smoke_local__calib_vecsum__discopop_gate_rep2__cand0000: gate PASS, applied on original, verifying at SMALL …
  integrity_smoke_local__calib_vecsum_proj__discopop_gate_rep1__cand0000: gate PASS, applied on original, verifying at SMALL …
  integrity_smoke_local__calib_vecsum_proj__discopop_gate_rep2__cand0000: gate PASS, applied on original, verifying at SMALL …
  local_obs1__polybench_2mm__full_rep1__cand0001: gate FAIL@tsan, applied on original, verifying at STANDARD …
  local_obs1__polybench_2mm__full_rep1__cand0003: gate PASS, applied on original, verifying at STANDARD …
  local_obs1__polybench_jacobi-2d-imper__full_rep1__cand0002: gate PASS, applied on original, verifying at EXTRALARGE …
  local_obs1__polybench_seidel-2d__full_rep1__cand0000: gate PASS, applied on original, verifying at EXTRALARGE …
  local_obs1__polybench_seidel-2d__full_rep1__cand0001: gate FAIL@tsan, applied on original + earlier accepted, verifying at EXTRALARGE …
  local_obs1__polybench_seidel-2d__full_rep1__cand0002: gate FAIL@correctness, applied on original + earlier accepted, verifying at EXTRALARGE …
  local_obs1__polybench_seidel-2d__full_rep1__cand0003: gate FAIL@correctness, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0000: gate FAIL@correctness, applied on original, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0001: gate PASS, applied on original, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0002: gate FAIL@tsan, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0004: gate FAIL@correctness, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0006: gate FAIL@tsan, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0007: gate FAIL@correctness, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0008: gate FAIL@tsan, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0009: gate FAIL@tsan, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0010: gate FAIL@correctness, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0011: gate FAIL@correctness, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot2__polybench_seidel-2d__full_rep1__cand0012: gate FAIL@correctness, applied on original + earlier accepted, verifying at EXTRALARGE …
  pilot_seidel__polybench_seidel-2d__full_rep1__cand0000: gate FAIL@tsan, applied on original, verifying at EXTRALARGE …
  pilot_seidel__polybench_seidel-2d__full_rep1__cand0001: gate FAIL@tsan, applied on original, verifying at EXTRALARGE …
  pilot_seidel__polybench_seidel-2d__full_rep1__cand0002: gate FAIL@correctness, applied on original, verifying at EXTRALARGE …
  pkg_smoke_local__npb_is__discopop_gate_rep1__cand0001: gate FAIL@tsan, applied on original, verifying at LARGE …
  pkg_smoke_local__polybench_2mm__discopop_gate_rep1__cand0000: gate PASS, applied on original, verifying at STANDARD …
  pkg_smoke_local__polybench_2mm__discopop_gate_rep1__cand0001: gate PASS, applied on original + earlier accepted, verifying at STANDARD …
  proj_smoke_local__calib_privtemp_proj__discopop_gate_rep1__cand0000: gate FAIL@tsan, applied on original, verifying at SMALL …
  proj_smoke_local__calib_privtemp_proj__discopop_gate_rep1__cand0001: gate PASS, applied on original, verifying at SMALL …
  proj_smoke_local__calib_vecsum_proj__discopop_gate_rep1__cand0000: gate FAIL@tsan, applied on original, verifying at SMALL …
  proj_smoke_local__calib_vecsum_proj__discopop_gate_rep1__cand0001: gate PASS, applied on original, verifying at SMALL …
