benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
tsvc/s211,serial,alone,0,1,0,1.7496,1.369299769,2.45 2.33 67.78
tsvc/s211,serial,alone,0,2,0,1.7238,1.369168998,2.45 2.33 67.78
tsvc/s211,serial,alone,0,3,0,1.7274,1.370642309,2.45 2.33 67.78
tsvc/s211,serial,alone,0,4,0,1.7278,1.371125263,2.49 2.34 67.43
tsvc/s211,serial,alone,0,5,0,1.7259,1.370259187,2.49 2.34 67.43
tsvc/s211,serial,alone,0,6,0,1.7284,1.369991116,2.49 2.34 67.43
tsvc/s211,serial,alone,0,7,0,1.7255,1.356336082,2.53 2.35 67.09
tsvc/s211,serial,alone,0,8,0,1.7262,1.370024486,2.53 2.35 67.09
tsvc/s211,serial,alone,0,9,0,1.7072,1.349044922,2.53 2.35 67.09
tsvc/s211,serial,alone,0,10,0,1.7305,1.367216968,2.57 2.36 66.74
tsvc/s211,serial,unpinned,-1,1,0,1.7129,1.351694521,2.57 2.36 66.74
tsvc/s211,serial,unpinned,-1,2,0,1.7297,1.370013928,2.57 2.36 66.74
tsvc/s211,serial,unpinned,-1,3,0,1.6761,1.334833285,2.60 2.37 66.40
tsvc/s211,serial,unpinned,-1,4,0,1.7003,1.348960003,2.60 2.37 66.40
tsvc/s211,serial,unpinned,-1,5,0,1.6883,1.340949328,2.60 2.37 66.40
tsvc/s211,serial,unpinned,-1,6,0,1.6505,1.309988245,2.64 2.39 66.06
tsvc/s211,serial,unpinned,-1,7,0,1.658,1.317031454,2.64 2.39 66.06
tsvc/s211,serial,unpinned,-1,8,0,1.6465,1.307008814,2.64 2.39 66.06
tsvc/s211,serial,unpinned,-1,9,0,1.6231,1.284980272,2.67 2.40 65.72
tsvc/s211,serial,unpinned,-1,10,0,1.6081,1.273686525,2.67 2.40 65.72
tsvc/s211,serial,4_lanes,0,1,0,,1.387582322,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,2,0,,1.394186527,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,3,0,,1.392146314,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,4,0,,1.403572363,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,5,0,,1.364437814,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,6,0,,1.316827724,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,7,0,,1.351781556,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,8,0,,1.345875915,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,9,0,,1.33194456,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,0,10,0,,1.381864525,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,1,0,,1.399818906,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,2,0,,1.373374094,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,3,0,,1.400137009,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,4,0,,1.395403697,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,5,0,,1.376095354,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,6,0,,1.356958672,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,7,0,,1.37980472,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,8,0,,1.332892346,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,9,0,,1.329817245,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,1,10,0,,1.404082809,3.56 2.61 64.77
tsvc/s211,serial,4_lanes,2,1,0,,1.390392191,3.60 2.63 64.45
tsvc/s211,serial,4_lanes,2,2,0,,1.392996509,3.60 2.63 64.45
tsvc/s211,serial,4_lanes,2,3,0,,1.385033175,3.60 2.63 64.45
tsvc/s211,serial,4_lanes,2,4,0,,1.380395083,3.60 2.63 64.45
tsvc/s211,serial,4_lanes,2,5,0,,1.396849407,3.60 2.63 64.45
tsvc/s211,serial,4_lanes,2,6,0,,1.372313988,3.60 2.63 64.45
