benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/2mm,serial,alone,0,1,0,7.5466,7.52421924,3923.49 3004.11 2751.80
polybench/2mm,serial,alone,0,2,0,7.1444,7.130583968,4033.74 3056.33 2771.40
polybench/2mm,serial,alone,0,3,0,6.9279,6.914447489,3882.50 3041.20 2768.03
polybench/2mm,serial,alone,0,4,0,6.949,6.936481251,3469.37 2981.73 2751.68
polybench/2mm,serial,alone,0,5,0,6.9203,6.904374435,3195.71 2933.09 2737.18
polybench/2mm,serial,alone,0,6,0,6.7479,6.734900795,2943.97 2885.26 2722.76
polybench/2mm,serial,alone,0,7,0,7.2537,7.23993775,2499.35 2791.97 2694.15
polybench/2mm,serial,alone,0,8,0,7.1971,7.1830104,2303.53 2746.51 2679.97
polybench/2mm,serial,alone,0,9,0,7.3304,7.31606528,1957.45 2657.81 2651.82
polybench/2mm,serial,alone,0,10,0,7.1677,7.155647258,1804.87 2614.54 2637.85
polybench/2mm,serial,unpinned,-1,1,0,6.4347,6.423340976,1664.50 2572.00 2623.96
polybench/2mm,serial,unpinned,-1,2,0,6.7693,6.755952818,1416.66 2489.04 2596.41
polybench/2mm,serial,unpinned,-1,3,0,6.3958,6.384480008,1307.38 2448.58 2582.75
polybench/2mm,serial,unpinned,-1,4,0,7.4431,7.427486246,1860.70 2527.32 2606.81
polybench/2mm,serial,unpinned,-1,5,0,7.5722,7.559287584,2391.72 2626.34 2638.42
polybench/2mm,serial,unpinned,-1,6,0,7.2036,7.190668984,2624.47 2672.05 2653.36
polybench/2mm,serial,unpinned,-1,7,0,7.2005,7.187720334,2465.87 2638.38 2642.57
polybench/2mm,serial,unpinned,-1,8,0,7.5033,7.490110147,2549.57 2652.87 2647.23
polybench/2mm,serial,unpinned,-1,9,0,7.3837,7.371085874,3624.63 2879.65 2721.07
polybench/2mm,serial,unpinned,-1,10,0,6.7341,6.71770203,4060.77 2982.43 2755.18
polybench/2mm,serial,2_lanes,0,1,0,,6.763848954,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,2,0,,7.265621881,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,3,0,,6.818951847,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,4,0,,7.072479521,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,5,0,,6.628238668,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,6,0,,6.680025015,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,7,0,,6.849289911,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,8,0,,6.850009241,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,9,0,,6.990020983,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,0,10,0,,7.009918444,5651.48 3624.33 2991.14
polybench/2mm,serial,2_lanes,1,1,0,,7.247227901,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,2,0,,7.15798303,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,3,0,,7.37717037,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,4,0,,7.656031146,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,5,0,,7.011908957,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,6,0,,8.039775952,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,7,0,,8.187188323,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,8,0,,7.76884233,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,9,0,,7.058915505,5842.75 3697.64 3018.26
polybench/2mm,serial,2_lanes,1,10,0,,7.887344983,5842.75 3697.64 3018.26
rodinia-3.1/hotspot,serial,alone,0,1,0,3.323,3.287693345,5593.00 3681.48 3016.67
rodinia-3.1/hotspot,serial,alone,0,2,0,3.2714,3.248033652,5664.67 3728.07 3035.32
rodinia-3.1/hotspot,serial,alone,0,3,0,2.9588,2.935442962,5664.67 3728.07 3035.32
rodinia-3.1/hotspot,serial,alone,0,4,0,3.2345,3.210995805,5398.36 3705.01 3031.58
rodinia-3.1/hotspot,serial,alone,0,5,0,2.9325,2.907839625,5095.15 3670.26 3023.95
rodinia-3.1/hotspot,serial,alone,0,6,0,2.9442,2.919787071,5095.15 3670.26 3023.95
rodinia-3.1/hotspot,serial,alone,0,7,0,3.0539,3.030391966,5015.70 3677.45 3029.75
rodinia-3.1/hotspot,serial,alone,0,8,0,2.9387,2.915293323,5015.70 3677.45 3029.75
rodinia-3.1/hotspot,serial,alone,0,9,0,2.9438,2.918276022,4848.44 3664.99 3029.20
rodinia-3.1/hotspot,serial,alone,0,10,0,3.0021,2.972446806,5121.48 3741.24 3057.28
rodinia-3.1/hotspot,serial,unpinned,-1,1,0,3.1462,3.12380103,5121.48 3741.24 3057.28
rodinia-3.1/hotspot,serial,unpinned,-1,2,0,3.2409,3.217840844,5234.59 3787.60 3075.96
rodinia-3.1/hotspot,serial,unpinned,-1,3,0,2.9669,2.94121877,5234.59 3787.60 3075.96
rodinia-3.1/hotspot,serial,unpinned,-1,4,0,3.2153,3.192916846,5285.71 3822.22 3090.98
rodinia-3.1/hotspot,serial,unpinned,-1,5,0,3.2326,3.20883,5147.52 3817.87 3093.50
rodinia-3.1/hotspot,serial,unpinned,-1,6,0,3.244,3.216946096,5147.52 3817.87 3093.50
rodinia-3.1/hotspot,serial,unpinned,-1,7,0,2.8561,2.831891372,4737.48 3754.94 3077.03
