benchmark,size_label,size,type,line,end,name,function,share,seconds,hotness,excluded,in_main,in_timed_region
burkardt/md,agent,default,loop,154,166,,main,0.9805156429412076,18.193858,YES,False,True,True
burkardt/md,agent,default,loop,173,173,,main,9.754573844225815e-06,0.000181,MAYBE,False,True,False
burkardt/md,agent,default,function,119,183,main,main,1.0,18.555398,YES,False,False,False
burkardt/md,agent,default,loop,400,406,,initialize,1.2610885522369285e-05,0.000234,MAYBE,True,False,False
burkardt/md,agent,default,loop,402,405,,initialize,1.2610885522369285e-05,0.000234,MAYBE,True,False,False
burkardt/md,agent,default,loop,408,414,,initialize,3.880272468421319e-06,7.2e-05,MAYBE,True,False,False
burkardt/md,agent,default,loop,410,413,,initialize,2.1557069269007326e-06,4e-05,MAYBE,True,False,False
burkardt/md,agent,default,loop,415,421,,initialize,4.0958431611113925e-06,7.6e-05,MAYBE,True,False,False
burkardt/md,agent,default,loop,417,420,,initialize,2.4790629659358426e-06,4.6e-05,MAYBE,True,False,False
burkardt/md,agent,default,function,394,424,initialize,initialize,2.0587001151901997e-05,0.000382,MAYBE,True,False,False
burkardt/md,agent,default,loop,259,301,,compute,0.9997359797941278,18.550499,YES,False,False,False
burkardt/md,agent,default,loop,264,267,,compute,9.09169396420384e-05,0.001687,MAYBE,False,False,False
burkardt/md,agent,default,loop,269,293,,compute,0.9992782693208736,18.542006,YES,False,False,False
burkardt/md,agent,default,loop,288,291,,compute,0.17786700128986724,3.300393,MAYBE,False,False,False
burkardt/md,agent,default,loop,297,300,,compute,0.00011522253524284416,0.002138,MAYBE,False,False,False
burkardt/md,agent,default,function,239,309,compute,compute,0.999736033686801,18.5505,YES,False,False,False
burkardt/md,agent,default,function,29,33,pb_emit,pb_emit,5.012018605044203e-06,9.3e-05,MAYBE,True,False,False
burkardt/md,agent,default,loop,555,563,,update,0.00022947500236858296,0.004258,MAYBE,False,False,False
burkardt/md,agent,default,loop,557,562,,update,0.00014955216805373833,0.002775,MAYBE,False,False,False
burkardt/md,agent,default,function,542,566,update,update,0.00022963668038810054,0.004261,MAYBE,False,False,False
burkardt/md,agent,default,function,65,70,pb_timer_stop,pb_timer_stop,1.5089948488305129e-06,2.8e-05,MAYBE,True,False,False
burkardt/md,agent,default,function,35,39,pb_report,pb_report,2.1557069269007326e-07,4e-06,MAYBE,True,False,False
burkardt/md,agent,default,loop,346,350,,dist,0.10885667879503312,2.019879,MAYBE,False,False,False
burkardt/md,agent,default,function,341,354,dist,dist,0.27177040341576075,5.042808,YES,False,False,False
burkardt/md,agent,default,function,475,491,r8_uniform_01,r8_uniform_01,6.790476819737308e-06,0.000126,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,154,166,,main,0.979308807546239,18.685025,YES,False,True,True
burkardt/md,verify,STANDARD,loop,173,173,,main,1.1582925174984717e-05,0.000221,MAYBE,False,True,False
burkardt/md,verify,STANDARD,function,119,183,main,main,1.0,19.079809,YES,False,False,False
burkardt/md,verify,STANDARD,loop,400,406,,initialize,2.1541096139903705e-05,0.000411,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,402,405,,initialize,2.1541096139903705e-05,0.000411,MAYBE,True,False,False
burkardt/md,verify,STANDARD,loop,408,414,,initialize,4.035679812098748e-06,7.7e-05,MAYBE,True,False,False
