== polybench/2mm
  discopop_cc: rc=0 0.3s
  ./a.out: rc=0 0.2s
  seed=free run 1: rc=0 3.75s 833bc60873 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 54, 'do_all': 22, 'reduction': 0}
  seed=free run 2: rc=0 3.35s c6abe950a7 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 22, 'reduction': 0}
  seed=free run 3: rc=0 3.24s d7f7a0e8b9 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 21, 'do_all': 22, 'reduction': 0}
  seed=free run 4: rc=0 3.3s 8339111e64 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 15, 'do_all': 22, 'reduction': 0}
  seed=free run 5: rc=0 3.62s 3ad388f65c {'optimizer_output': 0, 'merged_pattern': 0, 'task': 21, 'do_all': 22, 'reduction': 0}
  seed=free run 6: rc=0 3.26s 24390507d1 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 12, 'do_all': 22, 'reduction': 0}
  seed=free run 7: rc=0 3.6s 8c6f7bfe71 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 21, 'do_all': 22, 'reduction': 0}
  seed=free run 8: rc=0 3.71s eb7ac726c3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 60, 'do_all': 22, 'reduction': 0}
  seed=free run 9: rc=0 3.46s 24390507d1 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 12, 'do_all': 22, 'reduction': 0}
  seed=free run 10: rc=0 3.51s 0385848b09 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 15, 'do_all': 22, 'reduction': 0}
  seed=free run 11: rc=0 3.36s 23ae5aa18f {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 22, 'reduction': 0}
  seed=free run 12: rc=0 3.48s a026dbcc9e {'optimizer_output': 0, 'merged_pattern': 0, 'task': 15, 'do_all': 22, 'reduction': 0}
  seed=free run 13: rc=0 3.7s c1e2d41a5b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 57, 'do_all': 22, 'reduction': 0}
