benchmark,seed,run,rc,seconds,sha256_set,sha256_ordered,sha256_do_all_set,sha256_reduction_set,sha256_task_set,do_all,task,reduction,error,profile_sha256
polybench/2mm,free,1,0,3.75,833bc60873f47d38868a91cd2ea95f9ea3ebfb2e9b68d64ebf2c43b8ca78c57a,2a0038494ffe46b1e76efc383be0b69ba0cd6952276ca3261013592729f5c907,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1519fe2f82d4d972b69f98b10c252999b355058a2a5ef20ae2effa8692aebedb,22,54,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,2,0,3.35,c6abe950a738e1ef297622eecaae1e338270b3def6615cbaac246e8269e4a1c7,6b35b17964b2b25566fceb3d6643ea60cb2d72f71565be248ec6b20859158c98,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,6302506bdeb0e26a47218de8d87b7d022802605db612b2cfea0e8160761871bb,22,24,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,3,0,3.24,d7f7a0e8b9fd95a5f89baa1d3c78783f8cf6496817c0a9277ffaf78cf53905ff,770c6bc5b2104c54c00871f684ff0527c35958e7ec698b6db97cdeedbf0b1fd8,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5b398bae470f33d1598a27282de46a5b2cc835cfd5bd6b8295c3b3b023bccab3,22,21,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,4,0,3.3,8339111e6429aa120b61bb9a27b5b65aa59dc6150727fe0e0511e091c43278ee,1ef96f97fb8c9c42f35e1d58e04e5d9dea82f8425495bf7a38f9897dc6220443,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,e66d1a97a38d4c3644c1adac751e4241f9f1f3b07967af0719fd08bca9ad2e2e,22,15,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,5,0,3.62,3ad388f65ccdce4a202b0188a9295523c51a1e8051a2c4be5d9024d4788db465,4fb0771bd4bba5e1e5f31b40c90310101c12f7d8514380e3ea31beff4a3738ce,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,fc68a006ee853ff60be5a59d636026c8a510f578e985787c111200f62192a442,22,21,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,6,0,3.26,24390507d117cd14129733d7bfd54ca15705a08b9d3d250f01062ddf89a8a0fe,83b01f1a1a531bc525ce5799801b1de8f0c1b3e576f0ff39117a09df4b0c32d1,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4197d9056a45c0d1e49917c315f897246104249ce5d592480f2fbb70d79ccd88,22,12,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,7,0,3.6,8c6f7bfe71a4baf080c0a5362ebb3f7023050b77edbc111ef81f116706f28928,fe41e9f0dbad589492637ffff424d10a306e657997a7640ac38613d4e65c07f6,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a6afb37aebd8ccb662119242142ff836e24f37281a417e5ebad448cb82d420ab,22,21,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,8,0,3.71,eb7ac726c3c955d89f20572660d78aeee685db2c3b5f67aaf2e6878b9716bd34,18247555bc581cbe832dbfa5929a4dc20df2e468024d16fff1dd6def9c234079,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,76aacea546901a2ae7ae279237fb498cb7dcd38771fbd460240ede71930f6f81,22,60,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,9,0,3.46,24390507d117cd14129733d7bfd54ca15705a08b9d3d250f01062ddf89a8a0fe,acf50c2091fd4d36705246f7612a88b13249c4f50e1d1cdc6fd8ee8134bdc9b2,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4197d9056a45c0d1e49917c315f897246104249ce5d592480f2fbb70d79ccd88,22,12,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,10,0,3.51,0385848b09b56b94b74897d8b296aae92bb45986e89733a29869b1aa4a9ee4d7,667599487f8106e9bbb67ae0241f51751387699480245da4eaaa86fa08dba581,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f429062a53e63036d9a7d05ef3d9e6e1400ed4bf418ef31bedc431073ac9fcad,22,15,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,11,0,3.36,23ae5aa18f1959b807b1a354676a015188749cda716872cfa1f7b0d3a2cc00c8,587b47d87267be433540c83cc7ccc249a45c8eb51a596001bae7f8425cd42dfb,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,6b39800f5314644415bbfa1135c27a5458ef693dfb07bd98506dd29035e57cea,22,24,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,12,0,3.48,a026dbcc9e21a948fc9746ba22bea770bdb541b6c0aa185fa7b355d107eb9f21,84b544fb23a27a7a1189211581abb6cb6f9f83e4f754908f38124339682e1384,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7fb5659b995300e3183bd4c1c5bef67f39e6e9ed09508a7685a26e3380340b85,22,15,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,13,0,3.7,c1e2d41a5b4841a80983408d0b91d0eb60e10e6f46f2cd8b3d59880d851e0c61,d5320cdbdd23f1b2d30e8394138a7a396ae05eec6656ea764b8bb9e05b3579f5,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,ee862c1b73b99500f7bcaf7d853e077d991276ae23f909c9099e19378ec4a115,22,57,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,14,0,3.79,02cda738342ddb64b10dd89e89e86fc884e19064559bfe1aae943adce4538c23,fea0869066252c45e6d485abafb1900db2d98e00ac7c7e185d442215d90ff6fb,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,b60b762ce2c11c91151c4da0a27e4c8e09cf697f3c10800e7858f68ee77be131,8236d1d2bf521f37fb75f86b485b0ad70497df3778f69c3201c3e65753a57321,22,57,2,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,15,0,3.38,6785ccd4d936793252bd04edc786e32ece4afbec854dc43d1dde1234a133f9b8,a9d45d8b6ef7f16a75cbc51395a99870208a5c1246f91698a2845a34b40fd39c,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,96862ea7dd5bf2d43c5ec921a80cf703932c5c545f6079ebf93849f724bcc77c,22,18,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,16,0,3.32,5ef0001e8edd811ef23864a810d9a659772fc98c2c3209c91360effe8dd02870,cbfc73fe42816804a3fec7cd1ad4c00c348b68f3383ba8ac4fda427c38ef38cb,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f2b0bfa852b73cdaa3e71a68c1e063bbe7d508b3fc41fbd53fb8ebde1e24ea93,22,18,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,17,0,3.24,4ce3d38ee8a9a4822009726b90643938ddae13a686edff7f326b77b0666a2c82,33de6cacca3b2eafc0653fbf7507106d5fc0a6f3a1f6db5cae484a48fac937dd,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5733b40e85fa33bd1605ff963b39e76bfbc5a48b0313cda57bd4faa262042a20,22,18,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,18,0,3.13,9a915ae6775f15b77a70b07d238ee80ce1445431569e4290a1bbac44f3993fb2,4694a52084b5bedf2410f495af3bbc2a6547ed1d2d7f0fce0aae71bbd5761b40,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,6fd167506211d7cbbafbcd2b8b2da3d396e1e9532dce02efecbd2667b6272d34,22,21,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,19,0,3.24,ea9a896d82da2a60e2b060b485ffa19aabbcb09bc6aef2cc9632037cce35e7a9,f2ef93a3792cbdd340342f5bd257e515824db493a0ced744abe3a2ea7d881adf,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,050ed9e8608a7e74728f03dd28ac77058ee97c36d7ff51465f8d32c2d21b2bce,22,21,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
polybench/2mm,free,20,0,3.31,19190edc2ea69bb61ad352ea36f7218af919aed1d267deab0b19410a9bf4a79c,2e975164eb97938cf060cb2907be19e9ab8cc4542f2ea1d59fbd74cf3d5eb0a7,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1f37d00504f204b854ff08fecbcc13de3e4a4214943f06e234ff2c9436c6ab9c,22,18,0,,17436c9fddb71497370e2036999161a4f81ca8760f2ae3283e43954dd1fbc7ec
