benchmark,seed,run,rc,seconds,sha256_set,sha256_ordered,sha256_do_all_set,sha256_reduction_set,sha256_task_set,do_all,task,reduction,error,profile_sha256
polybench/2mm,free,1,0,3.59,ab63703a2789cfc243259681afb8141e124bc8db4c69e66ef0a8160fa7ecb761,a6a24a34d3d4acd1099045b8367e3edd1fc7ce8654f3f9aad617230716ace301,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,694c3d45284c10b25291c4dc7b36b89d9dfddebf9ea11ff9a50f4f4ed93d96a1,22,57,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,2,0,3.22,647a539c898e53198796538353ac470c3c7f88f2156d9c30b7f68666ee095bd9,fb713b78fda79af1d8020b5ddc2494fc013db3fbc06153291c9049f3226dded7,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3d8c7002681ac871e2344153ea5673fbfbf744234b619154057b7cf74023a937,22,24,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,3,0,3.56,bed9786563680bf2bdd68e0bcbb3003da0df8d8a9d2143c8cfbec47f1453fbf2,e49bf695511e0fea119e8b2bbe34e03263f0976785f1538464ceb3ae4901f1b7,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0338f6470f7063880e2914c23318fab9d64575a8020969026f02b3782232d958,22,57,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,4,0,3.05,b16394e70c5a34eb67f2341c43873c6e3f34a83d265af5e21847e60f47ce8cfa,c1db24fdae180e042061dd2f84e5d5475cc14aea0611be9f5438c08ae1e642fd,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,c3141b4e671aa0e27bf2d213636b006a0148456819372411a40cd69aa1fab074,22,21,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,5,0,3.17,182a7f94a58df083bbfb28df7f4b53b16a9d06aad3d96bdc050eb8be54ad5b15,96b3ca546074c30a119bd0bfdb81e249c26855ee11f6e0688fd3d755dc43cb60,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f6f0516c83f734112f2c7243e9cd069e2e680c11a43d2a000ca5d36e632efff9,22,18,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,6,0,3.3,b4fb05169f3ffb79afbc25721e62417be7783f6607a63b5b3d89d194a5eff633,d5919d78d4193aeef9648b8a894eed5b0ad82b2abf9cd126b971edc5e1aae0f6,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,072814c905dc7e202442cf9570c8337c9d59d3098824ace401a80c82bb820cb0,22,54,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,7,0,3.1,123896fc4a18337db2db6897be9413b10cb6a57702b9e660c88b371550f93bb7,3b06f6353108432144bdd34fa5054341d576f8f2672001cf05f877cef016dcae,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,245844abd1d149852491783eaa270884ff1413632e86f5cbefa68ce3de0ab43c,22,18,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,8,0,3.13,a34e51e1187201c1654e4b5958e740e9d6db15b8c75d35d22040c4d4ff9c3a0f,f64f33b172c1afbdb4047c4dc7409f185a9c73481df68b3a91690e3bf0e6a82c,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,cfae2a6c0e5bd7537676b7115b2e2d17e2e991149b649551b64113a1c7426520,22,9,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,9,0,3.11,6785ccd4d936793252bd04edc786e32ece4afbec854dc43d1dde1234a133f9b8,f3750d826641292fff76cc3d3feb9d426b4ba15018d9280395d431da014d7129,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,96862ea7dd5bf2d43c5ec921a80cf703932c5c545f6079ebf93849f724bcc77c,22,18,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,10,0,3.36,93adc07595a07c1a5293aab07313dd5483895cd7473f04324cc1e71aa35e4c26,4cea8debcb04fcf915eaddc5cd0c5000f8731dd0a0a2a536aab89f5535b51572,8fbb9c16fe56cd8ab8a04d3b4a8c153da0088f45ac8778e2ea4c800eada2d7d8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8f904b0b1cdb48623a556dfb53a85a076afe8df38e4087df523ee0897177153c,22,60,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,11,0,3.26,712a79532ba559fce55b9c29e71325881c23221aae3bba27eb4bf1b6f3380490,b8937b27b88e05f4ed9b10860137233161e905a5369f31d9a6f467edf1bdee95,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,81c71d6cea2e4810e1102431299c6f9fe5dd2885962c8762e1606bf5592acfc5,22,15,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,12,0,3.17,fd1769c305f583447d158c7a942af8e21a6e6402aec20b61841153fd4825e1ef,57cd4faef25417f5c9417d562b6cf3e4d61e1bf30865a025c68b6a093fbdb78e,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,29bac60aaed4fb4c785b4908ba4fe838443e1fdb21821de3d11390badb37ebdc,22,15,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
polybench/2mm,free,13,0,3.11,0448a7d07343f499a01ade967f829232298b88de776ef546718a49e72faeefcf,fc664d74a928690302a80a339dc567286e30b0f3f82b702ee7e8edab0a579d7d,cf79b196e6e43200ba6f7d8ea7bb02f2a68bc2b6109e3a67f11b5b53418c6d2f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,b35a3a84bc0252ae55f73e002f14862a27bb477527bbe85f8f6cc2e6d01c81b5,22,9,0,,02741e0910a9d2e0fc81341262cdcffabf0a83a40f56e8c061770739ad98558b
