loop,size,serial_s,ref_T6_s,ref_T12_s,speedup_T6,speedup_T12,rel_err_T6,rel_err_T12,best_speedup,correct,error
s000,LARGE,0.4884,0.1348,0.1283,3.623,3.806,0.0,0.0,3.806,True,
s000,EXTRALARGE,2.9334,0.6894,0.6403,4.255,4.581,0.0,0.0,4.581,True,
s112,LARGE,0.4851,0.3608,0.3343,1.344,1.451,0.0,0.0,1.451,True,
s112,EXTRALARGE,2.9279,1.7686,1.563,1.655,1.873,0.0,0.0,1.873,True,
s121,LARGE,0.477,0.2836,0.2758,1.682,1.729,0.0,0.0,1.729,True,
s121,EXTRALARGE,3.0114,1.7003,1.5486,1.771,1.945,0.0,0.0,1.945,True,
s1213,LARGE,1.0164,0.3368,0.3077,3.018,3.304,0.0,0.0,3.304,True,
s1213,EXTRALARGE,6.1371,1.9206,1.7941,3.195,3.421,0.0,0.0,3.421,True,
s127,LARGE,0.7348,0.2716,0.212,2.706,3.466,0.0,0.0,3.466,True,
s127,EXTRALARGE,4.4139,1.1717,0.9097,3.767,4.852,0.0,0.0,4.852,True,
s211,LARGE,1.3765,0.5164,0.5037,2.665,2.733,0.0,0.0,2.733,True,
s211,EXTRALARGE,8.1503,4.0356,3.9726,2.02,2.052,0.0,0.0,2.052,True,
s212,LARGE,1.063,0.2845,0.2758,3.736,3.854,0.0,0.0,3.854,True,
s212,EXTRALARGE,6.3299,1.6674,1.5443,3.796,4.099,0.0,0.0,4.099,True,
s241,LARGE,0.1848,0.0906,0.0857,2.039,2.158,0.0,0.0,2.158,True,
s241,EXTRALARGE,1.104,0.4523,0.4236,2.441,2.606,0.0,0.0,2.606,True,
s243,LARGE,0.2218,0.0983,0.0977,2.256,2.269,0.0,0.0,2.269,True,
s243,EXTRALARGE,1.3294,0.5058,0.453,2.628,2.935,0.0,0.0,2.935,True,
s244,LARGE,1.2063,0.3079,0.3112,3.918,3.876,0.0,0.0,3.918,True,
s244,EXTRALARGE,7.0487,1.411,1.2759,4.995,5.525,0.0,0.0,5.525,True,
s252,LARGE,0.7335,0.1653,0.1793,4.438,4.092,0.0,0.0,4.438,True,
s252,EXTRALARGE,4.4351,1.0127,0.9027,4.38,4.913,0.0,0.0,4.913,True,
s254,LARGE,0.4801,0.1359,0.136,3.533,3.529,0.0,0.0,3.533,True,
s254,EXTRALARGE,2.9998,0.7131,0.6528,4.207,4.595,0.0,0.0,4.595,True,
s255,LARGE,0.4983,0.3532,0.222,1.411,2.245,0.0,0.0,2.245,True,
s255,EXTRALARGE,2.9359,2.0348,1.1413,1.443,2.572,0.0,0.0,2.572,True,
s281,LARGE,1.0244,0.3871,0.2778,2.646,3.687,0.0,0.0,3.687,True,
s281,EXTRALARGE,6.1792,1.7644,1.3919,3.502,4.439,0.0,0.0,4.439,True,
s291,LARGE,0.4851,0.1356,0.1334,3.577,3.637,0.0,0.0,3.637,True,
s291,EXTRALARGE,2.9377,0.6942,0.6802,4.232,4.319,0.0,0.0,4.319,True,
s292,LARGE,0.7204,0.3524,0.2161,2.044,3.333,0.0,0.0,3.333,True,
s292,EXTRALARGE,3.0859,2.0549,1.1643,1.502,2.65,0.0,0.0,2.65,True,
s293,LARGE,0.2513,0.1066,0.1074,2.357,2.339,0.0,0.0,2.357,True,
s293,EXTRALARGE,1.6016,0.6283,0.4711,2.549,3.399,0.0,0.0,3.399,True,
s313,LARGE,0.7771,0.2253,0.1334,3.448,5.824,9.264812221763295e-13,9.588748556519956e-13,5.824,True,
s313,EXTRALARGE,4.3378,1.0554,0.765,4.11,5.67,5.742422159153646e-12,5.1688171095115105e-12,5.67,True,
s331,LARGE,0.3776,0.1938,0.1271,1.949,2.971,0.0,0.0,2.971,True,
s331,EXTRALARGE,2.2844,0.5111,0.357,4.47,6.399,0.0,0.0,6.399,True,
s341,LARGE,0.4065,0.1678,0.1376,2.422,2.955,0.0,0.0,2.955,True,
s341,EXTRALARGE,2.5122,0.8749,0.7769,2.871,3.234,0.0,0.0,3.234,True,
vpvtv,LARGE,0.741,0.1934,0.1719,3.831,4.31,0.0,0.0,4.31,True,
vpvtv,EXTRALARGE,4.4468,0.9821,0.8917,4.528,4.987,0.0,0.0,4.987,True,
