loop,size,serial_s,ref_T6_s,ref_T12_s,speedup_T6,speedup_T12,rel_err_T6,rel_err_T12,best_speedup,correct,error
s000,LARGE,0.0388,0.0128,0.0128,3.034,3.026,0.0,0.0,3.034,True,
s000,EXTRALARGE,0.163,0.0587,0.0491,2.779,3.322,0.0,0.0,3.322,True,
s112,LARGE,0.0392,0.0449,0.0453,0.874,0.865,0.0,0.0,0.874,True,
s112,EXTRALARGE,0.1677,0.1444,0.117,1.162,1.433,0.0,0.0,1.433,True,
s121,LARGE,0.0413,0.0362,0.0329,1.141,1.256,0.0,0.0,1.256,True,
s121,EXTRALARGE,0.1664,0.1278,0.1086,1.302,1.532,0.0,0.0,1.532,True,
s1213,LARGE,0.0853,0.0291,0.0302,2.932,2.826,0.0,0.0,2.932,True,
s1213,EXTRALARGE,0.3397,0.1104,0.116,3.076,2.929,0.0,0.0,3.076,True,
s127,LARGE,0.0618,0.0163,0.0213,3.794,2.9,0.0,0.0,3.794,True,
s127,EXTRALARGE,0.2442,0.0563,0.0648,4.341,3.766,0.0,0.0,4.341,True,
s211,LARGE,0.1141,0.0511,0.054,2.233,2.114,0.0,0.0,2.233,True,
s211,EXTRALARGE,0.4549,0.2084,0.1791,2.183,2.54,0.0,0.0,2.54,True,
s212,LARGE,0.0885,0.0281,0.0248,3.145,3.574,0.0,0.0,3.574,True,
s212,EXTRALARGE,0.3566,0.1081,0.0998,3.3,3.573,0.0,0.0,3.573,True,
s241,LARGE,0.0901,0.0426,0.0391,2.113,2.303,0.0,0.0,2.303,True,
s241,EXTRALARGE,0.3719,0.1636,0.141,2.273,2.638,0.0,0.0,2.638,True,
s243,LARGE,0.1112,0.0521,0.047,2.133,2.368,0.0,0.0,2.368,True,
s243,EXTRALARGE,0.4474,0.2362,0.2088,1.894,2.143,0.0,0.0,2.143,True,
s244,LARGE,0.1028,0.0437,0.0305,2.355,3.372,0.0,0.0,3.372,True,
s244,EXTRALARGE,0.5042,0.1088,0.1198,4.636,4.208,0.0,0.0,4.636,True,
s252,LARGE,0.0614,0.0372,0.0316,1.648,1.942,0.0,0.0,1.942,True,
s252,EXTRALARGE,0.2442,0.072,0.0757,3.393,3.228,0.0,0.0,3.393,True,
s254,LARGE,0.0403,0.0239,0.018,1.689,2.239,0.0,0.0,2.239,True,
s254,EXTRALARGE,0.1658,0.0504,0.0502,3.292,3.303,0.0,0.0,3.303,True,
s255,LARGE,0.0404,0.0446,0.0433,0.906,0.932,0.0,0.0,0.932,True,
s255,EXTRALARGE,0.1657,0.1525,0.1352,1.086,1.226,0.0,0.0,1.226,True,
s281,LARGE,0.0869,0.0788,0.0621,1.103,1.4,0.0,0.0,1.4,True,
s281,EXTRALARGE,0.3439,0.2181,0.1253,1.577,2.745,0.0,0.0,2.745,True,
s291,LARGE,0.0397,0.0227,0.0157,1.75,2.529,0.0,0.0,2.529,True,
s291,EXTRALARGE,0.1632,0.0847,0.0574,1.927,2.844,0.0,0.0,2.844,True,
s292,LARGE,0.0601,0.0438,0.0427,1.372,1.407,0.0,0.0,1.407,True,
s292,EXTRALARGE,0.1671,0.1404,0.099,1.19,1.688,0.0,0.0,1.688,True,
s293,LARGE,0.0204,0.0104,0.01,1.962,2.031,0.0,0.0,2.031,True,
s293,EXTRALARGE,0.0858,0.0324,0.0325,2.647,2.642,0.0,0.0,2.647,True,
s313,LARGE,0.0599,0.016,0.0192,3.734,3.119,3.6926405837428085e-13,3.342014458914233e-13,3.734,True,
s313,EXTRALARGE,0.2408,0.0832,0.0601,2.896,4.008,1.5262406156879492e-12,1.324855170979238e-12,4.008,True,
s331,LARGE,0.0313,0.0196,0.0175,1.593,1.788,0.0,0.0,1.788,True,
s331,EXTRALARGE,0.1267,0.0643,0.0539,1.97,2.349,0.0,0.0,2.349,True,
s341,LARGE,0.0339,0.0271,0.0272,1.252,1.248,0.0,0.0,1.252,True,
s341,EXTRALARGE,0.1375,0.0854,0.0602,1.61,2.283,0.0,0.0,2.283,True,
vpvtv,LARGE,0.0605,0.0164,0.0186,3.7,3.25,0.0,0.0,3.7,True,
vpvtv,EXTRALARGE,0.2473,0.0807,0.0688,3.065,3.593,0.0,0.0,3.593,True,
