run_id,benchmark,arm,model,repeat,phase,stage,count
t0_11_classes_a,burkardt/md,discopop_capability,none,1,B,correctness,2
t0_11_classes_a,burkardt/md,discopop_capability,none,1,B,tsan,3
t0_11_classes_a,npb/is,discopop_capability,none,1,B,tsan,3
t0_11_classes_a,polybench/adi,discopop_capability,none,1,B,tsan,3
t0_11_classes_a,polybench/bicg,discopop_capability,none,1,B,tsan,2
t0_11_classes_a,polybench/doitgen,discopop_capability,none,1,B,tsan,3
t0_11_classes_a,polybench/doitgen,discopop_capability,none,1,B,schedules,1
t0_11_classes_a,polybench/dynprog,discopop_capability,none,1,B,tsan,5
t0_11_classes_a,polybench/fdtd-2d,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,polybench/floyd-warshall,discopop_capability,none,1,B,tsan,3
t0_11_classes_a,polybench/gramschmidt,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,polybench/jacobi-1d-imper,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,polybench/jacobi-2d-imper,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,polybench/lu,discopop_capability,none,1,B,openmp_compile,1
t0_11_classes_a,polybench/reg_detect,discopop_capability,none,1,B,tsan,2
t0_11_classes_a,polybench/seidel-2d,discopop_capability,none,1,B,tsan,2
t0_11_classes_a,polybench/seidel-2d,discopop_capability,none,1,B,correctness,1
t0_11_classes_a,polybench/symm,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,polybench/trisolv,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,polybench/trisolv,discopop_capability,none,1,B,correctness,1
t0_11_classes_a,rodinia-3.1/hotspot,discopop_capability,none,1,B,schedules,4
t0_11_classes_a,rodinia-3.1/hotspot,discopop_capability,none,1,B,tsan,2
t0_11_classes_a,rodinia-3.1/pathfinder,discopop_capability,none,1,B,schedules,4
t0_11_classes_a,tsvc/s000,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s112,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s121,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s127,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s212,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s241,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s244,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s252,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s254,discopop_capability,none,1,B,tsan,2
t0_11_classes_a,tsvc/s255,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s291,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s291,discopop_capability,none,1,B,schedules,1
t0_11_classes_a,tsvc/s292,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s293,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s3112,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s313,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s323,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s341,discopop_capability,none,1,B,tsan,1
t0_11_classes_a,tsvc/s341,discopop_capability,none,1,B,schedules,1
