loop,class,result,expert_pragmas,candidates,applied,rejected_by,dropped_slower,marginals,settle_ok,seconds,detail
s000,A,KEPT,1,2,1,{'tsan': 1},0,[],True,47,
s112,R,KEPT,2,2,2,{},0,[],True,48,
s121,R,KEPT,2,2,2,{},0,[],True,47,
s1213,R,KEPT,2,2,2,{},0,[],True,50,
s127,R,KEPT,1,2,1,{'tsan': 1},0,[],True,46,
s211,R,KEPT,3,3,3,{},0,[],True,54,
s212,R,KEPT,2,2,2,{},0,[],True,47,
s241,R,KEPT,2,2,2,{},0,[],True,45,
s243,R,KEPT,2,2,2,{},0,[],True,45,
s244,R,KEPT,1,1,1,{},0,[],True,40,
s252,R,KEPT,1,2,1,{'tsan': 1},0,[],True,45,
s254,R,KEPT,1,2,1,{'tsan': 1},0,[],True,49,
s255,R,KEPT,1,2,1,{'tsan': 1},0,[],True,44,
s281,R,KEPT,2,2,2,{},0,[],True,46,
s291,R,KEPT,1,2,1,{'tsan': 1},0,[],True,44,
s292,R,KEPT,1,2,1,{'tsan': 1},0,[],True,43,
s293,R,KEPT,1,2,1,{'tsan': 1},0,[],True,43,
s313,A,ALL_REJECTED,1,2,0,{'tsan': 2},0,[],False,51,
s331,R,ALL_REJECTED,1,2,0,"{'schedules': 1, 'tsan': 1}",0,[],False,977,
s341,R,PROFILE_ERROR,4,,,,,,,,"Users/ahmedsamir/discopop_agent/venv/lib/python3.11/site-packages/discopop-profiler.libs/CC_wrapper.sh: line 111: /private/tmp/claude-501/-Users-ahmedsamir-discopop-agent/436822e3-c111-4da4-bd96-90a25b95970d/scratchpad/ceiling_safety/s341/.discopop/profiler/ast_dump.json: No such file or directory

"
vpvtv,A,KEPT,1,1,1,{},0,[],True,45,
