run_id,benchmark,arm,model,repeat,phase,stage,count
v3_pilot_1,tsvc/s112,no_evidence,claude-haiku-4-5-20251001,3,A,correctness,1
v3_pilot_1,tsvc/s1213,no_evidence,claude-haiku-4-5-20251001,1,A,correctness,1
v3_pilot_1,tsvc/s1213,no_evidence,claude-haiku-4-5-20251001,2,A,correctness,1
v3_pilot_1,tsvc/s1213,no_evidence,claude-haiku-4-5-20251001,2,B,tsan,1
v3_pilot_2,tsvc/s211,no_evidence,claude-haiku-4-5-20251001,1,A,correctness,2
v3_pilot_2,tsvc/s211,no_evidence,claude-haiku-4-5-20251001,1,B,tsan,1
v3_pilot_2,tsvc/s211,no_evidence,claude-haiku-4-5-20251001,3,B,tsan,1
v3_pilot_2,tsvc/s241,no_evidence,claude-haiku-4-5-20251001,1,A,correctness,1
v3_pilot_2,tsvc/s241,no_evidence,claude-haiku-4-5-20251001,3,A,correctness,1
v3_pilot_3,tsvc/s243,no_evidence,claude-haiku-4-5-20251001,2,A,correctness,1
v3_pilot_3,tsvc/s244,no_evidence,claude-haiku-4-5-20251001,1,A,correctness,1
v3_pilot_4,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,1,B,tsan,2
v3_pilot_4,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,2,B,tsan,1
v3_pilot_4,tsvc/s252,no_evidence,claude-haiku-4-5-20251001,3,B,tsan,1
v3_pilot_4,tsvc/s281,no_evidence,claude-haiku-4-5-20251001,1,A,correctness,4
v3_pilot_4,tsvc/s281,no_evidence,claude-haiku-4-5-20251001,2,A,correctness,1
v3_pilot_4,tsvc/s281,no_evidence,claude-haiku-4-5-20251001,3,A,correctness,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s112,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_1,tsvc/s121,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_2,tsvc/s212,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_2,tsvc/s212,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_2,tsvc/s212,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_2,tsvc/s212,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_2,tsvc/s212,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_2,tsvc/s241,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_2,tsvc/s241,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_2,tsvc/s241,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_2,tsvc/s241,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_2,tsvc/s241,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_2,tsvc/s243,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_2,tsvc/s243,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_2,tsvc/s243,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_2,tsvc/s243,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_2,tsvc/s243,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_2,tsvc/s244,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_2,tsvc/s244,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_2,tsvc/s244,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_2,tsvc/s244,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_2,tsvc/s244,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1c_r_2,tsvc/s252,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_r_2,tsvc/s252,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_r_2,tsvc/s252,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_r_2,tsvc/s252,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1c_r_2,tsvc/s252,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
