run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,phase_b_deferred,phase_b_joint_kept,dp_floor,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
v3_pilot_3,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,1,parallel-not-faster,1.035,3.8742,1.365434,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,3,0,0,2,True,,72,32414,238909,0.2664,326.9,9,1,2,False,0,2,0,0,0,original,2,0,763.0,68.6,604.06,6,6.462890625,10.484375,2026-09-25T22:53:00,2026-09-25T23:06:52,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.035,0.996,1.035,1.0
v3_pilot_3,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,2,no-change,1.007,3.8384,1.341607,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,6,0,0,2,True,,149,94549,600118,0.7544,917.7,10,3,3,False,0,3,0,0,0,original,3,0,1282.1,67.4,604.06,6,10.484375,6.93408203125,2026-09-25T23:06:52,2026-09-25T23:29:22,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.007,1.006,1.003,1.005
v3_pilot_3,tsvc/s243,s243,,default,claude-haiku-4-5-20251001,3,parallel-not-faster,0.987,3.9919,1.384311,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,6,0,0,2,True,,133,91440,520063,0.7238,993.2,12,5,6,False,0,6,0,0,0,original,6,0,1633.5,69.8,604.06,6,6.93408203125,10.76318359375,2026-09-25T23:29:22,2026-09-25T23:57:45,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,0.987,1.001,0.986,0.998
v3_pilot_3,tsvc/s243,s243,,no_evidence,claude-haiku-4-5-20251001,1,FASTER,1.145,3.8218,1.345937,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,1,0,0,2,True,,26,9308,39188,0.0779,72.1,3,0,1,False,0,1,0,0,0,original,1,0,539.5,66.6,604.06,6,10.76318359375,10.06396484375,2026-09-25T23:57:45,2026-09-26T00:07:51,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.116,1.018,1.145,1.019
v3_pilot_3,tsvc/s243,s243,,no_evidence,claude-haiku-4-5-20251001,2,FASTER,2.117,3.8242,1.337458,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,3,0,0,2,True,,62,51133,207415,0.3897,546.8,9,1,2,False,0,2,0,0,0,original,2,0,1028.9,59.9,604.06,6,10.06396484375,8.47705078125,2026-09-26T00:07:51,2026-09-26T00:26:00,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.921,1.194,2.117,1.237
v3_pilot_3,tsvc/s243,s243,,no_evidence,claude-haiku-4-5-20251001,3,FASTER,1.105,3.7683,1.33524,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,1,,1,0,0,2,True,,34,12793,68264,0.1099,109.7,3,0,1,False,0,1,0,0,0,original,1,0,508.0,66.2,604.06,6,8.47705078125,7.361328125,2026-09-26T00:26:00,2026-09-26T00:35:34,EXTRALARGE,True,True,0.01,-DEXTRALARGE_DATASET,1.088,1.009,1.105,1.003
v3_pilot_3,tsvc/s244,s244,,default,claude-haiku-4-5-20251001,1,FASTER,4.282,1.5457,1.178065,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,0,,3,0,0,1,True,,92,76489,333018,0.5323,804.8,5,0,1,False,0,1,0,0,0,original,1,0,938.9,18.0,3.95,5,2.64013671875,5.38916015625,2026-09-26T05:33:23,2026-09-26T05:49:20,LARGE,True,True,0.01,-DLARGE_DATASET,4.137,2.188,4.282,2.197
v3_pilot_3,tsvc/s244,s244,,default,claude-haiku-4-5-20251001,2,no-change,1.0,1.5616,1.186708,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,9,0,0,1,True,,206,166827,825151,1.2972,1655.5,20,6,6,False,0,6,0,0,0,original,6,0,2249.0,27.4,3.95,5,5.38916015625,3.4541015625,2026-09-26T05:49:20,2026-09-26T06:27:16,LARGE,True,True,0.01,-DLARGE_DATASET,1.0,1.008,0.997,1.004
v3_pilot_3,tsvc/s244,s244,,default,claude-haiku-4-5-20251001,3,no-change,1.006,1.5488,1.186544,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,9,0,0,1,True,,216,238839,796641,1.7591,2243.0,20,5,5,False,0,5,0,0,0,original,5,0,2576.4,27.3,3.95,5,3.4541015625,4.47900390625,2026-09-26T06:27:16,2026-09-26T07:10:40,LARGE,True,True,0.01,-DLARGE_DATASET,0.998,1.003,1.006,0.996
v3_pilot_3,tsvc/s244,s244,,no_evidence,claude-haiku-4-5-20251001,1,no-change,0.998,1.5521,1.187367,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,2,0,0,1,True,,52,22707,116138,0.1801,192.4,11,0,1,False,0,1,0,1,0,original,1,4,605.0,27.3,3.95,5,4.47900390625,6.36865234375,2026-09-26T07:10:40,2026-09-26T07:21:12,LARGE,True,True,0.01,-DLARGE_DATASET,0.998,0.998,0.998,1.002
