run_id,benchmark,kernel,group,arm,model,class,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
v3_pilot_4,tsvc/s252,s252,,default,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,3.573,,,1,1,no-baseline
v3_pilot_4,tsvc/s252,s252,,default,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,2.023,,,1,1,no-baseline
v3_pilot_4,tsvc/s252,s252,,default,claude-haiku-4-5-20251001,R,3,0,,,,parallel-not-faster,1.022,,,1,1,no-baseline
v3_pilot_4,tsvc/s252,s252,,no_evidence,claude-haiku-4-5-20251001,R,1,0,,,,parallel-not-faster,1.033,,,1,1,no-baseline
v3_pilot_4,tsvc/s252,s252,,no_evidence,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,2.183,,,1,1,no-baseline
v3_pilot_4,tsvc/s252,s252,,no_evidence,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,2.073,,,1,1,no-baseline
v3_pilot_4,tsvc/s281,s281,,default,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,3.222,,,1,1,no-baseline
v3_pilot_4,tsvc/s281,s281,,default,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,3.577,,,1,1,no-baseline
v3_pilot_4,tsvc/s281,s281,,default,claude-haiku-4-5-20251001,R,3,0,,,,parallel-not-faster,1.057,,,1,2,no-baseline
v3_pilot_4,tsvc/s281,s281,,no_evidence,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,1.146,,,1,8,no-baseline
v3_pilot_4,tsvc/s281,s281,,no_evidence,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,3.303,,,1,2,no-baseline
v3_pilot_4,tsvc/s281,s281,,no_evidence,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,2.545,,,1,2,no-baseline
