benchmark,class,declared_class,draws_total,draws_usable,draws_parallel,median_speedup_discopop_alone,outcomes
burkardt/md,R,,3,3,0,1.002,no-change;no-change;no-change
npb/is,R,,3,3,0,1.004,no-change;no-change;no-change
polybench/2mm,A,,3,3,3,9.762,FASTER;FASTER;FASTER
polybench/3mm,A,,3,3,3,9.889,FASTER;FASTER;FASTER
polybench/adi,A,,1,1,1,1.735,FASTER
polybench/atax,A,,3,3,2,0.301,no-change;parallel-speed-not-measurable;parallel-speed-not-measurable
polybench/bicg,R,,3,3,0,1.003,no-change;no-change;no-change
polybench/correlation,A,,3,3,3,5.479,FASTER;FASTER;FASTER
polybench/covariance,A,,3,3,3,5.609,FASTER;FASTER;FASTER
polybench/doitgen,R,,3,3,0,1.01,no-change;no-change;no-change
polybench/dynprog,A,,3,3,3,0.98,parallel-not-faster;parallel-not-faster;parallel-not-faster
polybench/fdtd-2d,A,,3,3,3,4.671,FASTER;FASTER;FASTER
polybench/fdtd-apml,A,,3,3,3,3.904,FASTER;FASTER;FASTER
polybench/floyd-warshall,R,,3,3,0,1.003,no-change;no-change;no-change
polybench/gemm,A,,3,3,3,9.334,FASTER;FASTER;FASTER
polybench/gemver,A,,3,3,3,3.345,parallel-speed-not-measurable;parallel-speed-not-measurable;parallel-speed-not-measurable
polybench/gesummv,A,,3,3,3,3.588,parallel-speed-not-measurable;parallel-speed-not-measurable;parallel-speed-not-measurable
polybench/gramschmidt,A,,3,3,3,8.562,FASTER;FASTER;FASTER
polybench/jacobi-1d-imper,A,,3,3,3,2.712,parallel-speed-not-measurable;parallel-speed-not-measurable;parallel-speed-not-measurable
polybench/jacobi-2d-imper,A,,3,3,3,4.536,FASTER;FASTER;FASTER
polybench/lu,A,,3,3,3,0.212,parallel-not-faster;parallel-not-faster;parallel-not-faster
polybench/ludcmp,A,,3,3,3,0.155,parallel-not-faster;parallel-not-faster;parallel-not-faster
polybench/mvt,A,,3,3,3,3.597,parallel-speed-not-measurable;parallel-speed-not-measurable;parallel-speed-not-measurable
polybench/reg_detect,A,,3,3,3,0.248,parallel-speed-not-measurable;parallel-speed-not-measurable;parallel-speed-not-measurable
polybench/seidel-2d,R,,3,3,0,1.009,no-change;no-change;no-change
polybench/symm,A,,3,3,3,1.351,FASTER;FASTER;FASTER
polybench/syr2k,A,,3,3,3,9.585,FASTER;FASTER;FASTER
polybench/syrk,A,,3,3,3,7.885,FASTER;FASTER;FASTER
polybench/trisolv,R,,3,3,0,1.006,no-change;no-change;no-change
rodinia-3.1/hotspot,R,,3,3,0,1.018,no-change;no-change;no-change
rodinia-3.1/pathfinder,A,,3,3,3,4.058,parallel-speed-not-measurable;parallel-speed-not-measurable;parallel-speed-not-measurable
tsvc/s000,A,A,3,2,2,3.825,FASTER;FASTER;PROFILE_ERROR
tsvc/s112,R,R,3,3,0,1.0,no-change;no-change;no-change
tsvc/s121,R,R,3,3,0,1.007,no-change;no-change;no-change
tsvc/s1213,R,R,3,3,0,1.006,no-change;no-change;no-change
tsvc/s127,R,R,3,3,0,0.997,no-change;no-change;no-change
tsvc/s211,R,R,3,3,0,1.021,no-change;no-change;no-change
tsvc/s212,R,R,3,2,0,1.003,no-change;PROFILE_ERROR;no-change
tsvc/s241,R,R,3,3,0,1.022,no-change;no-change;no-change
tsvc/s243,R,R,3,3,0,1.003,no-change;no-change;no-change
tsvc/s244,R,R,3,3,0,1.001,no-change;no-change;no-change
tsvc/s252,R,R,3,2,0,1.007,no-change;PROFILE_ERROR;no-change
tsvc/s254,R,R,3,3,0,1.026,no-change;no-change;no-change
tsvc/s255,R,R,3,2,0,0.986,no-change;no-change;PROFILE_ERROR
tsvc/s281,R,R,3,2,0,1.01,no-change;no-change;PROFILE_ERROR
tsvc/s291,R,R,3,2,0,1.003,no-change;no-change;PROFILE_ERROR
tsvc/s292,R,R,3,3,0,0.998,no-change;no-change;no-change
tsvc/s293,R,R,3,1,0,1.008,no-change;PROFILE_ERROR;PROFILE_ERROR
tsvc/s3112,D,D,3,3,0,1.0,no-change;no-change;no-change
tsvc/s313,A,A,3,2,2,6.79,FASTER;PROFILE_ERROR;FASTER
tsvc/s321,D,D,3,3,0,1.0,no-change;no-change;no-change
tsvc/s322,D,D,3,1,0,1.003,PROFILE_ERROR;PROFILE_ERROR;no-change
tsvc/s323,D,D,3,3,0,1.0,no-change;no-change;no-change
tsvc/s331,R,R,3,2,0,1.0,PROFILE_ERROR;no-change;no-change
tsvc/s341,R,R,3,3,0,1.001,no-change;no-change;no-change
tsvc/vpvtv,A,A,3,3,3,4.337,FASTER;FASTER;FASTER
