run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T4,program_speedup_T4
dp_alone_look_mac,burkardt/md,md,B,discopop_gate,none,1,no-change,0.954,0.3965,0.11677,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,5,0,0,0,692.2,11.4,119.33,12,12.3583984375,9.26123046875,2026-09-19T20:05:45,2026-09-19T20:17:29,SMALL,,False,0.01,,0.954,0.859
dp_alone_look_mac,npb/is,is,,discopop_gate,none,1,no-change,1.331,0.5226,0.040922,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,4,0,0,0,48.6,16.5,319.51,20,3.70654296875,4.74853515625,2026-09-19T20:33:06,2026-09-19T20:34:11,SMALL,,False,0.01,,1.331,1.198
dp_alone_look_mac,polybench/2mm,2mm,A,discopop_gate,none,1,FASTER,1.493,0.2678,0.004709,kernel,True,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,0,6,,0,0,0,1,True,,,,,,,2,0,0,0,36.0,4.3,22.16,22,2.49609375,3.01318359375,2026-09-19T19:31:38,2026-09-19T19:32:19,SMALL,,False,0.01,,1.493,0.943
dp_alone_look_mac,polybench/3mm,3mm,,discopop_gate,none,1,FASTER,1.966,0.2491,0.00693,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,0,9,,0,0,0,1,True,,,,,,,3,0,0,0,42.2,4.2,19.61,27,2.80908203125,2.1064453125,2026-09-19T19:32:39,2026-09-19T19:33:25,SMALL,,False,0.01,,1.966,1.012
dp_alone_look_mac,polybench/adi,adi,,discopop_gate,none,1,PROFILE_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dp_alone_look_mac,polybench/atax,atax,,discopop_gate,none,1,no-change,1.296,0.2751,0.000425,kernel,True,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,3,,0,0,0,1,True,,,,,,,3,0,0,0,24.0,4.1,14.96,13,2.2421875,2.0986328125,2026-09-19T19:33:40,2026-09-19T19:34:08,SMALL,,False,0.01,,1.296,0.976
dp_alone_look_mac,polybench/bicg,bicg,,discopop_gate,none,1,no-change,1.011,0.2806,0.000663,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,0,0,0,1,True,,,,,,,2,0,0,0,23.2,4.3,15.52,14,2.13134765625,2.2490234375,2026-09-19T19:34:24,2026-09-19T19:34:51,SMALL,,False,0.01,,1.011,1.017
dp_alone_look_mac,polybench/correlation,correlation,,discopop_gate,none,1,FASTER,1.934,0.3208,0.071509,kernel,True,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,26.6,5.0,27.06,18,2.51904296875,3.1142578125,2026-09-19T19:35:19,2026-09-19T19:35:50,SMALL,,False,0.01,,1.934,0.967
dp_alone_look_mac,polybench/covariance,covariance,,discopop_gate,none,1,FASTER,2.183,0.3382,0.07483,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,32.2,5.2,26.68,15,3.14404296875,3.330078125,2026-09-19T19:36:17,2026-09-19T19:36:55,SMALL,,False,0.01,,2.183,1.16
dp_alone_look_mac,polybench/doitgen,doitgen,,discopop_gate,none,1,parallel-not-faster,0.357,0.2495,0.001012,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,5,,0,0,0,1,True,,,,,,,5,0,0,0,43.1,4.3,19.09,17,3.08837890625,3.38330078125,2026-09-19T19:37:14,2026-09-19T19:38:02,SMALL,,False,0.01,,0.357,0.861
