run_id,benchmark,arm,model,repeat,phase,stage,count
e10,polybench/floyd-warshall,full,claude-haiku-4-5-20251001,2,A,tsan,1
e10,polybench/floyd-warshall,full,claude-haiku-4-5-20251001,3,A,tsan,3
e10,polybench/floyd-warshall,full,claude-haiku-4-5-20251001,3,B,tsan,3
e10,polybench/floyd-warshall,speed_gate_large,claude-haiku-4-5-20251001,1,A,tsan,1
e10,polybench/floyd-warshall,speed_gate_large,claude-haiku-4-5-20251001,2,A,tsan,3
e10,polybench/floyd-warshall,speed_gate_large,claude-haiku-4-5-20251001,2,B,tsan,3
e10,polybench/floyd-warshall,speed_gate_large,claude-haiku-4-5-20251001,3,A,tsan,1
e10,polybench/floyd-warshall,speed_gate_large,claude-haiku-4-5-20251001,3,B,tsan,2
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,1,A,tsan,2
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,1,A,performance,1
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,1,B,tsan,3
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,2,A,tsan,2
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,2,A,performance,1
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,2,B,tsan,3
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,3,A,tsan,3
e10,polybench/floyd-warshall,speed_gate_small,claude-haiku-4-5-20251001,3,B,tsan,3
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,1,A,performance,2
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,1,A,tsan,1
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,1,A,openmp_compile,1
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,1,B,tsan,1
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,2,A,performance,2
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,2,A,tsan,1
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,2,B,tsan,1
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,3,A,performance,1
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,3,A,tsan,2
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,3,A,openmp_compile,2
e10,polybench/jacobi-2d-imper,speed_gate_small,claude-haiku-4-5-20251001,3,B,tsan,1
