run_id,benchmark,arm,model,repeat,phase,stage,count
e10_lu_fix84,polybench/lu,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e10_lu_fix84,polybench/lu,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e10_lu_fix84,polybench/lu,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,1,A,performance,4
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,1,A,tsan,2
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,1,A,openmp_compile,1
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,1,B,tsan,1
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,2,A,performance,3
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,2,A,tsan,3
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,2,B,tsan,1
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,3,A,performance,5
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,3,A,tsan,1
e10_lu_fix84,polybench/lu,speed_gate_small,claude-haiku-4-5-20251001,3,B,tsan,1
