run_id,benchmark,arm,model,repeat,phase,stage,count
e1_r_b,polybench/floyd-warshall,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,polybench/floyd-warshall,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,polybench/floyd-warshall,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,polybench/floyd-warshall,default,claude-haiku-4-5-20251001,4,A,compile,2
e1_r_b,polybench/floyd-warshall,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,polybench/floyd-warshall,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,polybench/floyd-warshall,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,3
e1_r_b,polybench/floyd-warshall,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,3
e1_r_b,polybench/floyd-warshall,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,3
e1_r_b,polybench/floyd-warshall,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,3
e1_r_b,polybench/floyd-warshall,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,3
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,1,A,correctness,4
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,1,A,compile,1
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,1,B,tsan,2
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,1,B,correctness,1
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,2,A,correctness,10
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,2,B,tsan,3
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,3,A,correctness,6
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,3,A,compile,1
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,3,B,tsan,2
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,3,B,correctness,1
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,4,A,correctness,9
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,4,B,tsan,3
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,5,A,correctness,7
e1_r_b,polybench/seidel-2d,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,polybench/trisolv,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,polybench/trisolv,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,polybench/trisolv,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,polybench/trisolv,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,polybench/trisolv,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,1,A,correctness,1
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,1,B,tsan,3
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,1,B,correctness,2
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,1,B,schedules,2
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,2,B,tsan,3
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,2,B,correctness,3
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,2,B,schedules,1
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,3,B,tsan,3
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,3,B,correctness,3
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,3,B,schedules,1
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,4,B,tsan,3
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,4,B,correctness,3
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,4,B,schedules,1
e1_r_b,rodinia-3.1/hotspot,default,claude-haiku-4-5-20251001,5,B,tsan,3
