run_id,benchmark,arm,model,repeat,phase,stage,count
pilot4,burkardt/md,full,claude-haiku-4-5-20251001,1,A,openmp_compile,1
pilot4,burkardt/md,full,claude-haiku-4-5-20251001,1,A,correctness,1
pilot4,burkardt/md,full,claude-haiku-4-5-20251001,1,A,tsan,5
pilot4,burkardt/md,full,claude-haiku-4-5-20251001,1,A,schedules,1
pilot4,burkardt/md,full,claude-haiku-4-5-20251001,1,B,correctness,2
pilot4,burkardt/md,full,claude-haiku-4-5-20251001,1,B,tsan,3
pilot4,polybench/floyd-warshall,full,claude-haiku-4-5-20251001,1,A,tsan,1
pilot4,polybench/seidel-2d,full,claude-haiku-4-5-20251001,1,A,correctness,2
pilot4,polybench/seidel-2d,full,claude-haiku-4-5-20251001,1,A,tsan,1
pilot4,polybench/seidel-2d,full,claude-haiku-4-5-20251001,1,B,tsan,3
pilot4,rodinia-3.1/hotspot,full,claude-haiku-4-5-20251001,1,B,tsan,1
pilot4,rodinia-3.1/hotspot,full,claude-haiku-4-5-20251001,1,B,schedules,3
pilot4,rodinia-3.1/hotspot,full,claude-haiku-4-5-20251001,1,B,correctness,1
