run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
t0_11_classes_a,burkardt/md,md,B,discopop_capability,none,1,no-change,1.006,1.6275,1.5874,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,5,0,0,0,656.8,34.7,30.42,11,5116.36865234375,4819.1201171875,2026-09-20T14:01:00,2026-09-20T14:12:31,STANDARD,True,False,0.01,,1.006,1.01,1.005,1.007
t0_11_classes_a,npb/is,is,,discopop_capability,none,1,no-change,1.006,2.9661,0.470611,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,3,0,0,0,16.0,55.3,53.82,19,4848.44482421875,5630.0576171875,2026-09-20T14:13:26,2026-09-20T14:14:37,LARGE,False,False,0.01,,0.999,1.0,1.006,1.004
t0_11_classes_a,polybench/2mm,2mm,A,discopop_capability,none,1,FASTER,5.149,7.3416,7.32838,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,0,6,,0,0,0,1,True,,,,,,,2,0,0,0,6.1,62.4,4.55,22,5886.62353515625,6370.38916015625,2026-09-20T14:14:42,2026-09-20T14:15:51,STANDARD,True,False,0.01,,4.968,4.929,5.149,5.101
t0_11_classes_a,polybench/3mm,3mm,,discopop_capability,none,1,FASTER,7.925,10.8066,10.790541,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,0,9,,0,0,0,1,True,,,,,,,3,0,0,0,8.0,86.5,5.3,27,6620.0419921875,4407.72802734375,2026-09-20T14:15:56,2026-09-20T14:17:31,STANDARD,True,False,0.01,,5.033,5.003,7.925,7.847
t0_11_classes_a,polybench/adi,adi,,discopop_capability,none,1,FASTER,1.735,1.5106,1.477417,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,4,4,0,0,9,,0,0,0,1,True,,,,,,,7,0,0,0,17.7,20.3,2397.66,19,4929.06103515625,3279.84423828125,2026-09-20T14:57:31,2026-09-20T14:58:10,LARGE,True,False,0.01,,1.735,1.704,1.545,1.517
t0_11_classes_a,polybench/atax,atax,,discopop_capability,none,1,no-change,1.005,0.1825,0.042007,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,0,0,0,1,True,,,,,,,0,0,0,0,2.2,3.6,2.44,10,3017.6005859375,2776.19677734375,2026-09-20T14:58:14,2026-09-20T14:58:20,LARGE,False,False,0.01,,1.005,1.074,1.005,1.066
t0_11_classes_a,polybench/bicg,bicg,,discopop_capability,none,1,no-change,1.003,0.3093,0.177631,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,0,0,0,1,True,,,,,,,2,0,0,0,3.1,5.9,2.49,14,2776.19677734375,2349.83447265625,2026-09-20T14:58:22,2026-09-20T14:58:31,LARGE,False,False,0.01,,1.001,1.01,1.003,0.998
t0_11_classes_a,polybench/correlation,correlation,,discopop_capability,none,1,FASTER,5.405,4.2708,4.255807,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,5.1,38.6,7.25,18,2241.1640625,4565.205078125,2026-09-20T14:58:39,2026-09-20T14:59:22,LARGE,True,False,0.01,,2.993,2.967,5.405,5.315
t0_11_classes_a,polybench/covariance,covariance,,discopop_capability,none,1,FASTER,5.124,4.3118,4.295356,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,6.0,39.5,7.05,14,4878.36962890625,4395.67431640625,2026-09-20T14:59:29,2026-09-20T15:00:15,LARGE,True,False,0.01,,2.959,2.933,5.124,5.052
t0_11_classes_a,polybench/doitgen,doitgen,,discopop_capability,none,1,no-change,1.01,4.8758,4.824577,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,4,0,0,0,5.6,83.4,3.64,17,4185.1748046875,4529.455078125,2026-09-20T15:00:19,2026-09-20T15:01:48,LARGE,True,False,0.01,,1.01,1.01,1.004,1.002
