run_id,benchmark,arm,model,repeat,phase,stage,count
t0_11_classes_b,burkardt/md,discopop_capability,none,1,B,correctness,1
t0_11_classes_b,burkardt/md,discopop_capability,none,1,B,tsan,3
t0_11_classes_b,npb/is,discopop_capability,none,1,B,tsan,3
t0_11_classes_b,polybench/bicg,discopop_capability,none,1,B,tsan,2
t0_11_classes_b,polybench/doitgen,discopop_capability,none,1,B,tsan,3
t0_11_classes_b,polybench/doitgen,discopop_capability,none,1,B,schedules,1
t0_11_classes_b,polybench/dynprog,discopop_capability,none,1,B,tsan,4
t0_11_classes_b,polybench/fdtd-2d,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,polybench/floyd-warshall,discopop_capability,none,1,B,tsan,3
t0_11_classes_b,polybench/gramschmidt,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,polybench/jacobi-1d-imper,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,polybench/jacobi-2d-imper,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,polybench/lu,discopop_capability,none,1,B,openmp_compile,1
t0_11_classes_b,polybench/reg_detect,discopop_capability,none,1,B,tsan,2
t0_11_classes_b,polybench/seidel-2d,discopop_capability,none,1,B,tsan,3
t0_11_classes_b,polybench/symm,discopop_capability,none,1,B,tsan,2
t0_11_classes_b,polybench/trisolv,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,polybench/trisolv,discopop_capability,none,1,B,correctness,1
t0_11_classes_b,rodinia-3.1/hotspot,discopop_capability,none,1,B,schedules,3
t0_11_classes_b,rodinia-3.1/hotspot,discopop_capability,none,1,B,tsan,2
t0_11_classes_b,rodinia-3.1/hotspot,discopop_capability,none,1,B,correctness,1
t0_11_classes_b,rodinia-3.1/pathfinder,discopop_capability,none,1,B,schedules,4
t0_11_classes_b,tsvc/s000,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s112,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s121,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s127,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s241,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s244,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s254,discopop_capability,none,1,B,tsan,2
t0_11_classes_b,tsvc/s255,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s291,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s292,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s3112,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s3112,discopop_capability,none,1,B,correctness,1
t0_11_classes_b,tsvc/s323,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s331,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s331,discopop_capability,none,1,B,correctness,1
t0_11_classes_b,tsvc/s341,discopop_capability,none,1,B,tsan,1
t0_11_classes_b,tsvc/s341,discopop_capability,none,1,B,schedules,1
