run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
t0_11_classes_b,burkardt/md,md,B,discopop_capability,none,1,no-change,1.002,1.5537,1.520809,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,4,0,0,0,650.7,33.4,27.5,11,417.18603515625,1301.52587890625,2026-09-20T21:16:07,2026-09-20T21:27:31,STANDARD,True,False,0.01,,1.0,0.999,1.002,1.001
t0_11_classes_b,npb/is,is,,discopop_capability,none,1,no-change,1.001,2.8053,0.441901,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,3,0,0,0,14.6,52.2,47.03,19,567.9404296875,194.14990234375,2026-09-20T21:28:19,2026-09-20T21:29:26,LARGE,False,False,0.01,,0.999,1.0,1.001,1.0
t0_11_classes_b,polybench/2mm,2mm,A,discopop_capability,none,1,FASTER,10.774,7.3495,7.3377,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,0,6,,0,0,0,1,True,,,,,,,2,0,0,0,5.2,54.3,3.49,22,178.9228515625,2041.49755859375,2026-09-20T21:29:30,2026-09-20T21:30:29,STANDARD,True,False,0.01,,5.373,5.332,10.774,10.567
t0_11_classes_b,polybench/3mm,3mm,,discopop_capability,none,1,FASTER,9.889,10.3166,10.304057,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,0,9,,0,0,0,1,True,,,,,,,3,0,0,0,6.5,80.0,4.59,27,1878.25830078125,4397.0947265625,2026-09-20T21:30:34,2026-09-20T21:32:00,STANDARD,True,False,0.01,,5.509,5.474,9.889,9.751
t0_11_classes_b,polybench/atax,atax,,discopop_capability,none,1,parallel-speed-not-measurable,0.301,0.1737,0.042985,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,0,4.3,5.7,2.64,11,4234.6083984375,3892.3583984375,2026-09-20T21:32:03,2026-09-20T21:32:13,LARGE,False,False,0.01,,0.301,0.588,0.177,0.426
t0_11_classes_b,polybench/bicg,bicg,,discopop_capability,none,1,no-change,1.002,0.3175,0.177505,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,0,0,0,1,True,,,,,,,2,0,0,0,3.1,5.9,2.44,14,3892.3583984375,3296.16796875,2026-09-20T21:32:16,2026-09-20T21:32:25,LARGE,False,False,0.01,,1.002,0.998,1.0,1.02
t0_11_classes_b,polybench/correlation,correlation,,discopop_capability,none,1,FASTER,5.791,4.1726,4.156234,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,2,,0,0,0,1,True,,,,,,,1,0,0,0,4.8,37.3,7.35,16,3032.857421875,2257.73583984375,2026-09-20T21:32:32,2026-09-20T21:33:14,LARGE,True,False,0.01,,3.124,3.097,5.791,5.671
t0_11_classes_b,polybench/covariance,covariance,,discopop_capability,none,1,FASTER,5.823,4.2994,4.28423,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,6.0,38.1,7.01,14,2863.78857421875,2763.22314453125,2026-09-20T21:33:21,2026-09-20T21:34:06,LARGE,True,False,0.01,,3.15,3.122,5.823,5.694
t0_11_classes_b,polybench/doitgen,doitgen,,discopop_capability,none,1,no-change,1.023,4.8509,4.800722,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,4,0,0,0,5.8,82.9,3.84,17,2542.4296875,3884.8095703125,2026-09-20T21:34:10,2026-09-20T21:35:38,LARGE,True,False,0.01,,1.023,1.021,1.0,1.0
t0_11_classes_b,polybench/dynprog,dynprog,,discopop_capability,none,1,parallel-not-faster,0.967,11.26,11.243895,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,6,,0,0,0,1,True,,,,,,,5,0,0,0,4.6,197.0,3.64,11,3884.8095703125,2274.62451171875,2026-09-20T21:35:42,2026-09-20T21:39:04,LARGE,True,False,0.01,,0.967,0.967,0.956,0.955
t0_11_classes_b,polybench/fdtd-2d,fdtd-2d,,discopop_capability,none,1,FASTER,5.646,2.0432,1.904757,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,0,7,,0,0,0,1,True,,,,,,,4,0,0,0,7.0,19.5,6.21,18,2092.95703125,1381.02490234375,2026-09-20T21:39:10,2026-09-20T21:39:37,EXTRALARGE,True,False,0.01,,4.658,3.541,5.646,4.002
t0_11_classes_b,polybench/fdtd-apml,fdtd-apml,,discopop_capability,none,1,FASTER,4.327,2.7795,1.551379,kernel,False,True,True,0.0,0.0,0.0,,True,True,1,1,0,0,4,,0,0,0,1,True,,,,,,,1,0,0,0,5.0,37.9,6.04,28,1169.2353515625,602.4580078125,2026-09-20T21:39:43,2026-09-20T21:40:26,LARGE,True,False,0.01,,2.805,1.552,4.327,1.711
t0_11_classes_b,polybench/floyd-warshall,floyd-warshall,B,discopop_capability,none,1,no-change,0.997,3.1229,3.108745,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,3,,0,0,0,1,True,,,,,,,3,0,0,0,3.6,55.2,2.59,9,554.4541015625,2770.9765625,2026-09-20T21:40:28,2026-09-20T21:41:27,LARGE,True,False,0.01,,0.997,0.997,0.941,0.941
t0_11_classes_b,polybench/gemm,gemm,,discopop_capability,none,1,FASTER,10.412,3.3183,3.309816,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,4.0,25.5,2.89,15,3059.419921875,2081.8623046875,2026-09-20T21:41:30,2026-09-20T21:42:00,STANDARD,True,False,0.01,,5.315,5.242,10.412,10.076
