run_id,benchmark,kernel,group,arm,model,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
t0_11_classes_b,burkardt/md,md,B,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,npb/is,is,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,polybench/2mm,2mm,A,discopop_capability,none,1,0,,,,FASTER,10.774,,,0,0,no-baseline
t0_11_classes_b,polybench/3mm,3mm,,discopop_capability,none,1,0,,,,FASTER,9.889,,,0,0,no-baseline
t0_11_classes_b,polybench/atax,atax,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_b,polybench/bicg,bicg,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,polybench/correlation,correlation,,discopop_capability,none,1,0,,,,FASTER,5.791,,,0,0,no-baseline
t0_11_classes_b,polybench/covariance,covariance,,discopop_capability,none,1,0,,,,FASTER,5.823,,,0,0,no-baseline
t0_11_classes_b,polybench/doitgen,doitgen,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,polybench/dynprog,dynprog,,discopop_capability,none,1,0,,,,parallel-not-faster,0.967,,,0,0,no-baseline
t0_11_classes_b,polybench/fdtd-2d,fdtd-2d,,discopop_capability,none,1,0,,,,FASTER,5.646,,,0,0,no-baseline
t0_11_classes_b,polybench/fdtd-apml,fdtd-apml,,discopop_capability,none,1,0,,,,FASTER,4.327,,,0,0,no-baseline
t0_11_classes_b,polybench/floyd-warshall,floyd-warshall,B,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,polybench/gemm,gemm,,discopop_capability,none,1,0,,,,FASTER,10.412,,,0,0,no-baseline
