benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/2mm,serial,alone,0,1,0,6.7895,6.777499885,284.50 204.89 227.71
polybench/2mm,serial,alone,0,2,0,7.0938,7.081141494,262.04 201.56 226.51
polybench/2mm,serial,alone,0,3,0,6.7781,6.764575237,222.30 195.04 224.12
polybench/2mm,serial,alone,0,4,0,7.2757,7.263584806,204.81 191.86 222.93
polybench/2mm,serial,alone,0,5,0,6.6481,6.633692713,173.86 185.66 220.58
polybench/2mm,serial,alone,0,6,0,6.6904,6.677917889,160.18 182.63 219.41
polybench/2mm,serial,alone,0,7,0,6.951,6.936254494,147.59 179.65 218.25
polybench/2mm,serial,alone,0,8,0,6.7323,6.71851277,125.51 173.86 215.95
polybench/2mm,serial,alone,0,9,0,7.3641,7.350102272,115.70 171.02 214.81
polybench/2mm,serial,alone,0,10,0,6.6928,6.678072817,106.68 168.24 213.67
polybench/2mm,serial,unpinned,-1,1,0,6.8641,6.847508649,90.82 162.81 211.42
polybench/2mm,serial,unpinned,-1,2,0,7.1607,7.144407788,83.78 160.16 210.30
polybench/2mm,serial,unpinned,-1,3,0,6.5124,6.496762007,71.36 154.98 208.08
polybench/2mm,serial,unpinned,-1,4,0,6.8288,6.811959953,65.89 152.46 206.98
polybench/2mm,serial,unpinned,-1,5,0,6.9636,6.947503189,60.85 149.98 205.88
polybench/2mm,serial,unpinned,-1,6,0,7.3227,7.307851823,52.03 145.15 203.71
polybench/2mm,serial,unpinned,-1,7,0,7.2633,7.247053673,48.19 142.81 202.64
polybench/2mm,serial,unpinned,-1,8,0,7.2797,7.26595336,41.24 138.21 200.50
polybench/2mm,serial,unpinned,-1,9,0,6.9473,6.933195474,38.26 135.98 199.45
polybench/2mm,serial,unpinned,-1,10,0,7.3762,7.361759542,33.00 131.63 197.35
polybench/2mm,serial,4_lanes,0,1,0,,6.348332272,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,2,0,,6.915704721,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,3,0,,6.372201363,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,4,0,,6.396242971,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,5,0,,6.578644254,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,6,0,,6.747880796,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,7,0,,6.677897275,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,8,0,,7.123570245,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,9,0,,6.484933479,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,0,10,0,,7.249335085,15.33 107.13 184.43
polybench/2mm,serial,4_lanes,1,1,0,,6.710475132,14.51 105.43 183.47
polybench/2mm,serial,4_lanes,1,2,0,,7.390119095,14.51 105.43 183.47
polybench/2mm,serial,4_lanes,1,3,0,,7.240730522,14.51 105.43 183.47
polybench/2mm,serial,4_lanes,1,4,0,,6.765362318,14.51 105.43 183.47
polybench/2mm,serial,4_lanes,1,5,0,,6.490609267,14.51 105.43 183.47
