benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/2mm,serial,alone,0,1,1,0.0012,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,2,1,0.0013,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,3,1,0.0014,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,4,1,0.0013,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,5,1,0.001,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,6,1,0.0012,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,7,1,0.0011,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,8,1,0.0007,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,9,1,0.0007,,808.76 1642.07 1722.37
polybench/2mm,serial,alone,0,10,1,0.0012,,808.76 1642.07 1722.37
polybench/2mm,serial,unpinned,-1,1,0,6.6272,6.616402701,685.04 1588.13 1703.96
polybench/2mm,serial,unpinned,-1,2,0,6.7611,6.747986372,630.50 1561.83 1694.83
polybench/2mm,serial,unpinned,-1,3,0,6.7898,6.777434074,580.81 1536.07 1685.78
polybench/2mm,serial,unpinned,-1,4,0,7.1884,7.174781987,806.35 1550.76 1688.84
polybench/2mm,serial,unpinned,-1,5,0,7.4953,7.4829863,1340.76 1649.20 1719.94
polybench/2mm,serial,unpinned,-1,6,0,7.5351,7.522702795,1988.42 1780.07 1761.89
polybench/2mm,serial,unpinned,-1,7,0,7.232,7.217736628,1988.87 1783.63 1763.14
polybench/2mm,serial,unpinned,-1,8,0,7.4067,7.394194189,1957.19 1782.37 1762.88
polybench/2mm,serial,unpinned,-1,9,0,7.0932,7.082043991,1800.87 1752.86 1753.44
polybench/2mm,serial,unpinned,-1,10,0,7.2543,7.241502846,1524.68 1695.29 1734.70
polybench/2mm,serial,4_lanes,2,1,0,,6.066583338,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,2,0,,6.757399705,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,3,0,,7.530876712,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,4,0,,7.43997623,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,5,0,,7.452445387,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,6,0,,7.484549739,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,7,0,,7.195820166,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,8,0,,7.446546719,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,9,0,,6.903262037,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,2,10,0,,7.30111885,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,1,0,,6.734082727,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,2,0,,6.657867773,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,3,0,,7.196330777,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,4,0,,7.599561015,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,5,0,,7.664434493,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,6,0,,6.765929065,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,7,0,,7.075984054,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,8,0,,6.755597712,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,9,0,,6.943800524,4631.41 2539.22 2021.32
polybench/2mm,serial,4_lanes,3,10,0,,7.400861254,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,1,1,0.0013,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,2,1,0.001,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,3,1,0.0007,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,4,1,0.001,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,5,1,0.0016,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,6,1,0.0007,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,7,1,0.0006,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,8,1,0.0006,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,9,1,0.0005,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,alone,0,10,1,0.0005,,4631.41 2539.22 2021.32
rodinia-3.1/hotspot,serial,unpinned,-1,1,0,2.9183,2.896417416,4417.49 2529.61 2020.99
rodinia-3.1/hotspot,serial,unpinned,-1,2,0,3.1369,3.115232291,4417.49 2529.61 2020.99
rodinia-3.1/hotspot,serial,unpinned,-1,3,0,3.1601,3.138093911,4360.43 2549.12 2030.03
rodinia-3.1/hotspot,serial,unpinned,-1,4,0,3.0734,3.05195005,4360.43 2549.12 2030.03
rodinia-3.1/hotspot,serial,unpinned,-1,5,0,2.8696,2.845921895,4011.58 2506.87 2019.15
rodinia-3.1/hotspot,serial,unpinned,-1,6,0,3.1307,3.108905225,3690.66 2465.32 2008.33
rodinia-3.1/hotspot,serial,unpinned,-1,7,0,2.8371,2.815127486,3690.66 2465.32 2008.33
rodinia-3.1/hotspot,serial,unpinned,-1,8,0,2.8419,2.819537238,3395.44 2424.45 1997.56
rodinia-3.1/hotspot,serial,unpinned,-1,9,0,2.8561,2.833212914,3395.44 2424.45 1997.56
rodinia-3.1/hotspot,serial,unpinned,-1,10,0,2.8859,2.862535576,3123.86 2384.27 1986.85
rodinia-3.1/hotspot,serial,4_lanes,2,1,0,,2.844599525,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,2,0,,2.861157301,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,3,0,,2.864547625,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,4,0,,2.848041073,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,5,0,,2.852924607,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,6,0,,2.873822763,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,7,0,,2.862793338,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,8,0,,2.898380565,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,9,0,,2.911293435,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,10,0,,2.889035543,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,1,0,,2.846763439,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,2,0,,2.860499446,1895.48 2156.97 1923.86
