benchmark,size_label,size,type,line,end,name,function,share,seconds,hotness,excluded,in_main,in_timed_region
burkardt/md,agent,default,loop,154,166,,main,0.9803466275821314,14.170736,YES,False,True,True
burkardt/md,agent,default,loop,173,173,,main,1.2867678342908683e-05,0.000186,MAYBE,False,True,False
burkardt/md,agent,default,function,119,183,main,main,1.0,14.454822,YES,False,False,False
burkardt/md,agent,default,loop,400,406,,_Z10initializeiiPdPiS_S_S_,1.3351945807426754e-05,0.000193,MAYBE,False,False,False
burkardt/md,agent,default,loop,402,405,,_Z10initializeiiPdPiS_S_S_,1.3282764741067029e-05,0.000192,MAYBE,False,False,False
burkardt/md,agent,default,loop,408,414,,_Z10initializeiiPdPiS_S_S_,4.496769313382067e-06,6.5e-05,MAYBE,False,False,False
burkardt/md,agent,default,loop,410,413,,_Z10initializeiiPdPiS_S_S_,2.2137941235111715e-06,3.2e-05,MAYBE,False,False,False
burkardt/md,agent,default,loop,415,421,,_Z10initializeiiPdPiS_S_S_,4.496769313382067e-06,6.5e-05,MAYBE,False,False,False
burkardt/md,agent,default,loop,417,420,,_Z10initializeiiPdPiS_S_S_,2.35215625623062e-06,3.4e-05,MAYBE,False,False,False
burkardt/md,agent,default,function,394,424,_Z10initializeiiPdPiS_S_S_,_Z10initializeiiPdPiS_S_S_,2.234548443419089e-05,0.000323,MAYBE,False,False,False
burkardt/md,agent,default,loop,259,301,,_Z7computeiiPdS_dS_S_S_,0.9997205776729731,14.450783,YES,False,False,False
burkardt/md,agent,default,loop,264,267,,_Z7computeiiPdS_dS_S_S_,0.00010868345525112657,0.001571,MAYBE,False,False,False
burkardt/md,agent,default,loop,269,293,,_Z7computeiiPdS_dS_S_S_,0.9991665756935644,14.442775,YES,False,False,False
burkardt/md,agent,default,loop,288,291,,_Z7computeiiPdS_dS_S_S_,0.1883801128785951,2.723001,MAYBE,False,False,False
burkardt/md,agent,default,loop,297,300,,_Z7computeiiPdS_dS_S_S_,0.00011041298191011969,0.001596,MAYBE,False,False,False
burkardt/md,agent,default,function,239,309,_Z7computeiiPdS_dS_S_S_,_Z7computeiiPdS_dS_S_S_,0.9997210619404375,14.45079,YES,False,False,False
burkardt/md,agent,default,function,29,33,_ZL7pb_emitd,_ZL7pb_emitd,6.018752773295998e-06,8.7e-05,MAYBE,False,False,False
burkardt/md,agent,default,function,63,63,_ZL14pb_timer_startv,_ZL14pb_timer_startv,3.459053317986206e-07,5e-06,MAYBE,False,False,False
burkardt/md,agent,default,loop,555,563,,_Z6updateiiPdS_S_S_dd,0.0002401274813346024,0.003471,MAYBE,False,False,False
burkardt/md,agent,default,loop,557,562,,_Z6updateiiPdS_S_S_dd,0.00012929941302632436,0.001869,MAYBE,False,False,False
burkardt/md,agent,default,function,542,566,_Z6updateiiPdS_S_S_dd,_Z6updateiiPdS_S_S_dd,0.00024054256773276073,0.003477,MAYBE,False,False,False
burkardt/md,agent,default,function,65,70,_ZL13pb_timer_stopv,_ZL13pb_timer_stopv,1.17607812811531e-06,1.7e-05,MAYBE,False,False,False
burkardt/md,agent,default,function,35,39,_ZL9pb_reportv,_ZL9pb_reportv,1.3836213271944822e-07,2e-06,MAYBE,False,False,False
burkardt/md,agent,default,loop,346,350,,_Z4distiPdS_S_,0.11023456393997795,1.593421,MAYBE,False,False,False
burkardt/md,agent,default,function,341,354,_Z4distiPdS_S_,_Z4distiPdS_S_,0.32691070149462925,4.725436,YES,False,False,False
burkardt/md,agent,default,function,475,491,_Z13r8_uniform_01Pi,_Z13r8_uniform_01Pi,6.226295972375171e-06,9e-05,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,154,166,,main,0.9803653555529172,14.218476,YES,False,True,True
burkardt/md,verify,STANDARD,loop,173,173,,main,1.2893668877620604e-05,0.000187,MAYBE,False,True,False
burkardt/md,verify,STANDARD,function,119,183,main,main,1.0,14.503242,YES,False,False,False
burkardt/md,verify,STANDARD,loop,400,406,,_Z10initializeiiPdPiS_S_S_,1.3238419382369818e-05,0.000192,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,402,405,,_Z10initializeiiPdPiS_S_S_,1.3169469281419975e-05,0.000191,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,408,414,,_Z10initializeiiPdPiS_S_S_,4.481756561739782e-06,6.5e-05,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,410,413,,_Z10initializeiiPdPiS_S_S_,2.344303432294655e-06,3.4e-05,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,415,421,,_Z10initializeiiPdPiS_S_S_,4.481756561739782e-06,6.5e-05,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,417,420,,_Z10initializeiiPdPiS_S_S_,2.5511537351441835e-06,3.7e-05,MAYBE,False,False,False
burkardt/md,verify,STANDARD,function,394,424,_Z10initializeiiPdPiS_S_S_,_Z10initializeiiPdPiS_S_S_,2.2201932505849383e-05,0.000322,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,259,301,,_Z7computeiiPdS_dS_S_S_,0.9997203383905474,14.499186,YES,False,False,False
burkardt/md,verify,STANDARD,loop,264,267,,_Z7computeiiPdS_dS_S_S_,0.00010894115950075162,0.00158,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,269,293,,_Z7computeiiPdS_dS_S_S_,0.9991783216469807,14.491325,YES,False,False,False
burkardt/md,verify,STANDARD,loop,288,291,,_Z7computeiiPdS_dS_S_S_,0.18826328623627736,2.730428,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,297,300,,_Z7computeiiPdS_dS_S_S_,0.0001053557542513598,0.001528,MAYBE,False,False,False
burkardt/md,verify,STANDARD,function,239,309,_Z7computeiiPdS_dS_S_S_,_Z7computeiiPdS_dS_S_S_,0.9997205452408502,14.499189,YES,False,False,False
burkardt/md,verify,STANDARD,function,29,33,_ZL7pb_emitd,_ZL7pb_emitd,6.274459186435695e-06,9.1e-05,MAYBE,False,False,False
burkardt/md,verify,STANDARD,function,63,63,_ZL14pb_timer_startv,_ZL14pb_timer_startv,1.379002018996856e-07,2e-06,MAYBE,False,False,False
burkardt/md,verify,STANDARD,loop,555,563,,_Z6updateiiPdS_S_S_dd,0.00024022215170925232,0.003484,MAYBE,False,False,False
