benchmark,kind,line,function,applicable,pragma,in_main,in_excluded_function,on_scaffolding,end
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,157
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,173
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,138
burkardt/md,task,134,main,False,['#pragma omp task'],True,False,False,134
burkardt/md,task,134,main,False,['#pragma omp task'],True,False,False,134
burkardt/md,task,134,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,134
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,138
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,173
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,157
burkardt/md,do_all,131,main,True,#pragma omp parallel for,True,False,False,131
burkardt/md,do_all,138,main,True,#pragma omp parallel for,True,False,True,138
burkardt/md,do_all,173,main,True,#pragma omp parallel for,True,False,True,173
burkardt/md,do_all,402,initialize,True,#pragma omp parallel for,False,True,False,402
burkardt/md,do_all,400,initialize,True,#pragma omp parallel for,False,True,False,400
burkardt/md,do_all,410,initialize,True,#pragma omp parallel for,False,True,False,410
burkardt/md,do_all,417,initialize,True,#pragma omp parallel for,False,True,False,417
burkardt/md,do_all,264,compute,True,#pragma omp parallel for,False,False,False,264
burkardt/md,do_all,288,compute,True,#pragma omp parallel for,False,False,False,288
burkardt/md,do_all,557,update,True,#pragma omp parallel for,False,False,False,557
burkardt/md,do_all,555,update,True,#pragma omp parallel for,False,False,False,555
burkardt/md,reduction,269,compute,True,#pragma omp parallel for,False,False,False,269
burkardt/md,reduction,297,compute,True,#pragma omp parallel for,False,False,False,297
burkardt/md,reduction,259,compute,True,#pragma omp parallel for,False,False,False,259
burkardt/md,reduction,346,dist,True,#pragma omp parallel for,False,False,False,346
burkardt/md,reduction,259,compute,True,#pragma omp parallel for,False,False,False,259
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,1531
npb/is,task,1608,main,False,['#pragma omp task'],True,False,False,1608
npb/is,task,1608,main,False,['#pragma omp task'],True,False,False,1608
npb/is,task,1608,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,1608
npb/is,task,710,alloc_key_buff,False,['#pragma omp task'],False,False,False,733
npb/is,task,710,alloc_key_buff,False,['#pragma omp task'],False,False,False,733
npb/is,task,710,alloc_key_buff,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,733
npb/is,task,1518,timer_start,False,['#pragma omp task'],False,True,False,1520
npb/is,task,1518,timer_start,False,['#pragma omp task'],False,True,False,1520
npb/is,task,1518,timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,1520
npb/is,task,1500,elapsed_time,False,['#pragma omp task'],False,True,False,1503
npb/is,task,1500,elapsed_time,False,['#pragma omp task'],False,True,False,1503
npb/is,task,1500,elapsed_time,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,1503
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,False,['#pragma omp task'],False,True,False,1531
npb/is,task,1525,timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,1531
npb/is,task,806,find_my_seed,False,['#pragma omp task'],False,False,False,806
npb/is,task,806,find_my_seed,False,['#pragma omp task'],False,False,False,806
npb/is,task,806,find_my_seed,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,806
npb/is,task,751,create_seq,False,['#pragma omp task'],False,False,False,784
npb/is,task,751,create_seq,False,['#pragma omp task'],False,False,False,784
npb/is,task,751,create_seq,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,784
npb/is,task,1616,main,False,['#pragma omp task'],True,False,True,1616
npb/is,task,1616,main,False,['#pragma omp task'],True,False,True,1616
npb/is,task,1616,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,1616
npb/is,task,1616,main,False,['#pragma omp task'],True,False,True,1616
npb/is,task,1616,main,False,['#pragma omp task'],True,False,True,1616
npb/is,task,1616,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,1616
npb/is,task,690,npb_main,False,['#pragma omp task'],False,False,False,690
npb/is,task,690,npb_main,False,['#pragma omp task'],False,False,False,690
npb/is,task,690,npb_main,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,690
npb/is,task,1195,,False,['#pragma omp task'],False,False,False,1195
npb/is,task,1195,,False,['#pragma omp task'],False,False,False,1195
npb/is,task,1195,,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,1195
npb/is,do_all,1616,main,True,#pragma omp parallel for,True,False,True,1616
npb/is,do_all,590,npb_main,True,#pragma omp parallel for,False,False,False,590
npb/is,do_all,648,npb_main,True,#pragma omp parallel for,False,False,False,648
npb/is,do_all,777,create_seq,True,#pragma omp parallel for,False,False,False,777
npb/is,do_all,719,alloc_key_buff,True,#pragma omp parallel for,False,False,False,719
npb/is,do_all,723,alloc_key_buff,True,#pragma omp parallel for,False,False,False,723
npb/is,do_all,899,,True,#pragma omp parallel for,False,False,False,899
npb/is,do_all,920,,True,#pragma omp parallel for,False,False,False,920
npb/is,do_all,930,,True,#pragma omp parallel for,False,False,False,930
npb/is,do_all,935,,True,#pragma omp parallel for,False,False,False,935
npb/is,do_all,937,,True,#pragma omp parallel for,False,False,False,937
npb/is,do_all,950,,True,#pragma omp parallel for,False,False,False,950
npb/is,do_all,949,,True,#pragma omp parallel for,False,False,False,949
npb/is,do_all,962,,True,#pragma omp parallel for,False,False,False,962
npb/is,do_all,969,,True,#pragma omp parallel for,False,False,False,969
npb/is,do_all,975,,True,#pragma omp parallel for,False,False,False,975
npb/is,do_all,846,full_verify,True,#pragma omp parallel for,False,False,False,846
npb/is,do_all,872,full_verify,True,#pragma omp parallel for,False,False,False,872
npb/is,do_all,814,find_my_seed,True,#pragma omp parallel for,False,False,False,814
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/2mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/2mm,task,478,main,False,['#pragma omp task'],True,False,False,486
polybench/2mm,task,478,main,False,['#pragma omp task'],True,False,False,486
polybench/2mm,task,478,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,486
polybench/2mm,task,475,main,False,['#pragma omp task'],True,False,False,540
polybench/2mm,task,475,main,False,['#pragma omp task'],True,False,False,540
polybench/2mm,task,475,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,540
polybench/2mm,task,503,main,False,['#pragma omp task'],True,False,True,503
polybench/2mm,task,503,main,False,['#pragma omp task'],True,False,True,503
polybench/2mm,task,503,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,503
polybench/2mm,task,504,main,False,['#pragma omp task'],True,False,True,504
polybench/2mm,task,504,main,False,['#pragma omp task'],True,False,True,504
polybench/2mm,task,504,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,504
polybench/2mm,task,505,main,False,['#pragma omp task'],True,False,True,505
polybench/2mm,task,505,main,False,['#pragma omp task'],True,False,True,505
polybench/2mm,task,505,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,505
polybench/2mm,task,503,main,False,['#pragma omp task'],True,False,True,503
polybench/2mm,task,503,main,False,['#pragma omp task'],True,False,True,503
polybench/2mm,task,503,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,503
polybench/2mm,task,500,main,False,['#pragma omp task'],True,False,False,500
polybench/2mm,task,500,main,False,['#pragma omp task'],True,False,False,500
polybench/2mm,task,500,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,500
polybench/2mm,task,504,main,False,['#pragma omp task'],True,False,True,504
polybench/2mm,task,504,main,False,['#pragma omp task'],True,False,True,504
polybench/2mm,task,504,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,504
polybench/2mm,task,505,main,False,['#pragma omp task'],True,False,True,505
polybench/2mm,task,505,main,False,['#pragma omp task'],True,False,True,505
polybench/2mm,task,505,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,505
polybench/2mm,task,506,main,False,['#pragma omp task'],True,False,True,506
polybench/2mm,task,506,main,False,['#pragma omp task'],True,False,True,506
polybench/2mm,task,506,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,506
polybench/2mm,task,507,main,False,['#pragma omp task'],True,False,True,507
polybench/2mm,task,507,main,False,['#pragma omp task'],True,False,True,507
polybench/2mm,task,507,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,507
polybench/2mm,task,506,main,False,['#pragma omp task'],True,False,True,506
polybench/2mm,task,506,main,False,['#pragma omp task'],True,False,True,506
polybench/2mm,task,506,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,506
polybench/2mm,task,507,main,False,['#pragma omp task'],True,False,True,507
polybench/2mm,task,507,main,False,['#pragma omp task'],True,False,True,507
polybench/2mm,task,507,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,507
polybench/2mm,do_all,503,main,True,#pragma omp parallel for,True,False,True,503
polybench/2mm,do_all,504,main,True,#pragma omp parallel for,True,False,True,504
polybench/2mm,do_all,505,main,True,#pragma omp parallel for,True,False,True,505
polybench/2mm,do_all,506,main,True,#pragma omp parallel for,True,False,True,506
polybench/2mm,do_all,507,main,True,#pragma omp parallel for,True,False,True,507
polybench/2mm,do_all,413,init_array,True,#pragma omp parallel for,False,True,False,413
polybench/2mm,do_all,412,init_array,True,#pragma omp parallel for,False,True,False,412
polybench/2mm,do_all,416,init_array,True,#pragma omp parallel for,False,True,False,416
polybench/2mm,do_all,415,init_array,True,#pragma omp parallel for,False,True,False,415
polybench/2mm,do_all,419,init_array,True,#pragma omp parallel for,False,True,False,419
polybench/2mm,do_all,418,init_array,True,#pragma omp parallel for,False,True,False,418
polybench/2mm,do_all,422,init_array,True,#pragma omp parallel for,False,True,False,422
polybench/2mm,do_all,421,init_array,True,#pragma omp parallel for,False,True,False,421
polybench/2mm,do_all,462,kernel_2mm,True,#pragma omp parallel for,False,False,False,462
polybench/2mm,do_all,459,kernel_2mm,True,#pragma omp parallel for,False,False,False,459
polybench/2mm,do_all,458,kernel_2mm,True,#pragma omp parallel for,False,False,False,458
polybench/2mm,do_all,469,kernel_2mm,True,#pragma omp parallel for,False,False,False,469
polybench/2mm,do_all,466,kernel_2mm,True,#pragma omp parallel for,False,False,False,466
polybench/2mm,do_all,465,kernel_2mm,True,#pragma omp parallel for,False,False,False,465
polybench/2mm,do_all,436,print_array,True,#pragma omp parallel for,False,True,False,436
polybench/2mm,do_all,435,print_array,True,#pragma omp parallel for,False,True,False,435
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,False,['#pragma omp task'],False,True,False,228
polybench/3mm,task,228,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,228
polybench/3mm,task,486,main,False,['#pragma omp task'],True,False,False,557
