benchmark,kind,line,function,applicable,pragma,in_main,in_excluded_function,on_scaffolding,end
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,173
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,157
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,False,['#pragma omp task'],True,False,True,173
burkardt/md,task,173,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,173
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,138
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,False,['#pragma omp task'],True,False,False,157
burkardt/md,task,157,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,157
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,False,['#pragma omp task'],True,False,True,138
burkardt/md,task,138,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,True,138
burkardt/md,task,134,main,False,['#pragma omp task'],True,False,False,134
burkardt/md,task,134,main,False,['#pragma omp task'],True,False,False,134
burkardt/md,task,134,main,True,"['#pragma omp parallel', '#pragma omp single']",True,False,False,134
burkardt/md,do_all,131,main,True,#pragma omp parallel for,True,False,False,131
burkardt/md,do_all,138,main,True,#pragma omp parallel for,True,False,True,138
burkardt/md,do_all,173,main,True,#pragma omp parallel for,True,False,True,173
burkardt/md,do_all,402,initialize,True,#pragma omp parallel for,False,True,False,402
burkardt/md,do_all,400,initialize,True,#pragma omp parallel for,False,True,False,400
burkardt/md,do_all,410,initialize,True,#pragma omp parallel for,False,True,False,410
burkardt/md,do_all,417,initialize,True,#pragma omp parallel for,False,True,False,417
burkardt/md,do_all,264,compute,True,#pragma omp parallel for,False,False,False,264
burkardt/md,do_all,288,compute,True,#pragma omp parallel for,False,False,False,288
burkardt/md,do_all,557,update,True,#pragma omp parallel for,False,False,False,557
burkardt/md,do_all,555,update,True,#pragma omp parallel for,False,False,False,555
burkardt/md,reduction,269,compute,True,#pragma omp parallel for,False,False,False,269
burkardt/md,reduction,297,compute,True,#pragma omp parallel for,False,False,False,297
burkardt/md,reduction,259,compute,True,#pragma omp parallel for,False,False,False,259
burkardt/md,reduction,346,dist,True,#pragma omp parallel for,False,False,False,346
burkardt/md,reduction,259,compute,True,#pragma omp parallel for,False,False,False,259
npb/is,task,470,find_my_seed,False,['#pragma omp task'],False,False,False,470
npb/is,task,470,find_my_seed,False,['#pragma omp task'],False,False,False,470
npb/is,task,470,find_my_seed,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,470
npb/is,task,800,main,False,['#pragma omp task'],True,True,False,800
npb/is,task,800,main,False,['#pragma omp task'],True,True,False,800
npb/is,task,800,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,False,800
npb/is,task,374,alloc_key_buff,False,['#pragma omp task'],False,False,False,397
npb/is,task,374,alloc_key_buff,False,['#pragma omp task'],False,False,False,397
npb/is,task,374,alloc_key_buff,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,397
npb/is,task,71,timer_start,False,['#pragma omp task'],False,True,False,73
npb/is,task,71,timer_start,False,['#pragma omp task'],False,True,False,73
npb/is,task,71,timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,73
npb/is,task,808,main,False,['#pragma omp task'],True,True,True,808
npb/is,task,808,main,False,['#pragma omp task'],True,True,True,808
npb/is,task,808,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,808
npb/is,task,808,main,False,['#pragma omp task'],True,True,True,808
npb/is,task,808,main,False,['#pragma omp task'],True,True,True,808
npb/is,task,808,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,808
npb/is,task,354,npb_main,False,['#pragma omp task'],False,False,False,354
npb/is,task,354,npb_main,False,['#pragma omp task'],False,False,False,354
npb/is,task,354,npb_main,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,354
npb/is,task,73,,False,['#pragma omp task'],False,False,False,73
npb/is,task,73,,False,['#pragma omp task'],False,False,False,73
npb/is,task,73,,True,"['#pragma omp parallel', '#pragma omp single']",False,False,False,73
npb/is,do_all,808,main,True,#pragma omp parallel for,True,True,True,808
npb/is,do_all,254,npb_main,True,#pragma omp parallel for,False,False,False,254
npb/is,do_all,312,npb_main,True,#pragma omp parallel for,False,False,False,312
npb/is,do_all,441,create_seq,True,#pragma omp parallel for,False,False,False,441
npb/is,do_all,383,alloc_key_buff,True,#pragma omp parallel for,False,False,False,383
npb/is,do_all,387,alloc_key_buff,True,#pragma omp parallel for,False,False,False,387
npb/is,do_all,563,,True,#pragma omp parallel for,False,False,False,563
npb/is,do_all,584,,True,#pragma omp parallel for,False,False,False,584
npb/is,do_all,594,,True,#pragma omp parallel for,False,False,False,594
npb/is,do_all,599,,True,#pragma omp parallel for,False,False,False,599
npb/is,do_all,601,,True,#pragma omp parallel for,False,False,False,601
npb/is,do_all,614,,True,#pragma omp parallel for,False,False,False,614
npb/is,do_all,613,,True,#pragma omp parallel for,False,False,False,613
npb/is,do_all,626,,True,#pragma omp parallel for,False,False,False,626
npb/is,do_all,633,,True,#pragma omp parallel for,False,False,False,633
npb/is,do_all,639,,True,#pragma omp parallel for,False,False,False,639
npb/is,do_all,510,full_verify,True,#pragma omp parallel for,False,False,False,510
